Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NZG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NZG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NZG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
17,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
18,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
19,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
20,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
21,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
22,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
25,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
27,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
43,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
44,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
