Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KEV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
22,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
23,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
26,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
27,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
