Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
20,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
26,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
27,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
28,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
29,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
30,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
31,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
32,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
