Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
57,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
