Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
25,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
26,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
29,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Water
33,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
34,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
35,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
36,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
38,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
39,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
41,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
42,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
43,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
44,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
56,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
58,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
68,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
70,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
85,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
89,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
91,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
92,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Water
93,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
96,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
97,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
98,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
99,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
