Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGP_M_R
0,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
2,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
4,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
5,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
6,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
7,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
8,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
9,NULL,Water,Water,NULL,Water,Water,Water,Forest
10,NULL,Water,Water,Non_Water,Water,Water,Wetland,Water
11,NULL,Forest,Water,NULL,Water,Water,Water,Forest
12,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
13,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Grassland
14,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Bareland
15,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
16,Bareland,Bareland,Water,Water,Water,Bareland,Water,Bareland
17,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
18,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
19,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
20,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
21,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
22,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
23,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
24,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
25,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
26,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
27,Bareland,Water,Water,NULL,Water,Bareland,Water,Bareland
28,Bareland,Water,Water,Water,Water,Water,Water,Water
29,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
30,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Forest
31,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
32,Water,Bareland,Water,Water,Water,Water,Water,Water
33,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
34,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
35,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
36,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
37,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
38,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
39,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
40,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
41,Water,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
42,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
43,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
44,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
45,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
46,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
47,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
48,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
49,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
50,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
51,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
52,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
53,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
54,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
55,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
56,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
