Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
12,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
17,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
18,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
19,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
20,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
21,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
24,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
25,NULL,NULL,Water,Water,Water,NULL,NULL,Water
26,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
27,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
34,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
44,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
45,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
46,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
