Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NEC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
35,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
36,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
39,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
