Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NED_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NED_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NED_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NED_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NED_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NED_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NED_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NED_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
