Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
13,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
14,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
