Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
20,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
22,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
23,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
24,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
25,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
27,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
29,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
34,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
37,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
42,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
43,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
44,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
45,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
47,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
48,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
51,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
52,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
53,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
54,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
55,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
56,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Water
57,NULL,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
58,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Water
59,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
60,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
61,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
62,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
63,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
64,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
65,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
66,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
67,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
68,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
69,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
70,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
71,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
72,Grassland,NULL,Water,Water,Water,Water,Water,Water
73,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
74,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
75,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
76,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
77,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
78,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
79,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
80,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
81,Grassland,Water,Water,Water,Water,Water,Wetland,Water
82,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
83,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
84,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
85,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
86,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
87,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
88,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
89,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
90,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
91,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
92,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
