Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
53,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
54,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
55,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
56,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Built-up,Grassland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
62,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
63,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
64,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
65,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
66,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
67,NULL,NULL,Water,NULL,Water,Grassland,Forest,Forest
68,NULL,NULL,Water,NULL,Water,Water,Grassland,Forest
69,NULL,NULL,Water,NULL,Water,Forest,Grassland,Forest
70,NULL,NULL,Water,NULL,Water,Forest,Forest,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
78,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
85,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
87,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
88,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
89,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
91,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
