Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
26,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
29,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
47,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
48,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
50,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
51,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
53,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
54,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,NULL
55,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
56,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
57,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
58,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
61,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
62,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
69,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
71,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
72,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
73,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
74,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
75,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,NULL
76,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
77,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
78,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
79,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
80,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,NULL
81,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
82,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
83,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
84,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
87,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
92,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
93,NULL,NULL,Water,NULL,Water,Grassland,Forest,Grassland
94,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
95,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
96,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Water
97,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
98,NULL,NULL,Water,NULL,Water,Water,Bareland,Forest
99,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
100,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Bareland
101,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Water
102,NULL,NULL,Water,Water,Water,NULL,NULL,Water
103,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
104,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
105,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
106,NULL,NULL,Water,Water,Water,Bareland,Bareland,Forest
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
