Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NML_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NML_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NML_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NML_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NML_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NML_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NML_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
10,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
11,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
12,NULL,NULL,Water,Water,Water,NULL,NULL,Water
13,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
14,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
18,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
19,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
20,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
21,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
22,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
23,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
24,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
25,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
26,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
30,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
33,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
34,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
35,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
36,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
37,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
40,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
41,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
42,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
43,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
44,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
45,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
46,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
47,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
48,NULL,Water,Water,NULL,Water,NULL,NULL,Water
49,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
50,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
51,NULL,Water,Water,Water,Water,NULL,NULL,Water
52,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
53,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
55,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
56,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
57,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
58,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
60,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
61,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
62,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
63,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
67,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
68,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
69,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
71,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
72,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
73,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
74,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
75,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
76,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
77,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
78,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
79,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
80,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
81,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
82,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
83,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
84,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
85,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
86,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
87,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
88,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
89,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Water
90,Cropland,Water,Water,Water,Water,NULL,NULL,Water
91,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
92,Cropland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
93,Cropland,Forest,Water,NULL,Water,NULL,NULL,Water
94,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
95,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
96,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
97,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
98,Wetland,Water,Water,Water,Water,NULL,NULL,Water
99,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
100,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
102,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
103,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
104,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
105,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
106,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
107,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
108,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
109,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
110,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
111,Bareland,Water,Water,Water,Water,NULL,NULL,Water
112,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
113,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
114,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
115,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
116,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
117,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
118,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
