Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
