Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
