Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PNR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PNR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PNR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PNR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PNR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PNR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
29,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
40,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
54,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
55,NULL,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Cropland
57,NULL,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,Bareland
59,NULL,NULL,Wetland,NULL,Wetland,Built-up
60,NULL,NULL,Wetland,NULL,Wetland,Water
61,NULL,NULL,Wetland,NULL,Wetland,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL
63,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
64,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
65,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
66,NULL,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,NULL,Wetland,Water,Wetland,Grassland
68,NULL,NULL,Wetland,Water,Wetland,Wetland
69,NULL,NULL,Wetland,Water,Wetland,Bareland
70,NULL,NULL,Wetland,Water,Wetland,Water
71,NULL,NULL,Wetland,Water,Wetland,Forest
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
73,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
77,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
80,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
82,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
93,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
94,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
95,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
96,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
97,NULL,NULL,Water,NULL,Water,Grassland
98,NULL,NULL,Water,NULL,Water,Wetland
99,NULL,NULL,Water,Non_Water,Water,Grassland
100,NULL,NULL,Water,Non_Water,Water,Wetland
101,NULL,NULL,Water,Water,Water,Grassland
102,NULL,NULL,Water,Water,Water,Wetland
103,NULL,NULL,Water,Water,Water,Forest
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL
105,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
106,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
107,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
108,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
114,NULL,NULL,Forest,Water,Non_Wetland,Grassland
115,NULL,NULL,Forest,Water,Non_Wetland,Wetland
116,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
