Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
