Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
