Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUB_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
5,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
6,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
7,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
8,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
9,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
10,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
14,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
15,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
17,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
19,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,Water,Water,NULL,Water,Water,Water,Forest
22,NULL,Water,Water,Non_Water,Water,Water,Water,Grassland
23,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,Forest,Water,NULL,Water,Wetland,Water,Forest
25,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
26,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
27,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
28,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
29,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
30,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
31,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
32,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
33,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
34,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
35,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
36,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
37,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
38,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
39,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
40,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
41,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
42,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
43,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
44,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
45,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
46,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
47,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
48,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
49,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
50,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
51,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
52,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
53,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
54,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
55,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
56,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
57,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
58,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
59,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
60,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
61,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
62,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
63,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
64,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
65,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
66,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
67,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
68,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
69,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
70,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
71,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
72,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
73,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
74,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
75,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
76,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
77,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
78,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
79,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
80,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
81,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
82,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
83,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
84,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
85,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
86,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
87,Water,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
88,Water,Water,Wetland,NULL,Wetland,Water,Forest,Bareland
89,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
90,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
91,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
92,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
93,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
94,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
95,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
96,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
97,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
98,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
99,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
100,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
101,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
102,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
103,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
104,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
105,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
106,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Bareland
107,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
108,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
109,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
110,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
111,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
112,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
113,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
114,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
115,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
116,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
117,Water,Water,Wetland,Water,Wetland,Water,Water,Water
118,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
119,Water,Water,Wetland,Water,Wetland,Water,Forest,Grassland
