Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVA_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
13,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
14,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
15,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
17,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
18,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
19,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
