Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
