Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXE_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
19,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
22,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
23,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
24,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
25,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
26,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
27,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
28,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
29,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
30,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
31,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
39,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
40,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
41,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
42,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
43,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
44,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
45,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
46,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
47,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
48,NULL,NULL,Water,Water,Water,NULL,NULL,Water
49,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
62,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
67,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
68,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
69,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
70,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
71,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
72,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
73,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
74,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
75,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
76,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
77,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
78,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
79,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
83,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
85,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
86,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
87,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
88,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
89,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
90,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
91,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
100,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
101,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
104,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
107,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
112,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
113,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
114,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
115,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
116,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
