Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
79,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
81,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
83,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
84,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
85,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
