Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBG_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
33,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
34,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
39,NULL,NULL,Wetland,NULL,Wetland,Cropland,Forest,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
43,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
44,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
45,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
49,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
50,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
51,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,Water,Non_Water,Water,Water,Water,Bareland
55,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
56,NULL,NULL,Water,Non_Water,Water,Water,Water,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
62,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
68,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
69,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
