Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KVD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
33,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
35,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
36,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
37,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
