Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LXL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LXL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LXL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LXL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LXL_M_R
0,NULL,NULL,Water,NULL,NULL,NULL,NULL,NULL
1,Bareland,NULL,Water,NULL,NULL,NULL,NULL,NULL
2,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,Water,NULL,Wetland,NULL,NULL,NULL,NULL,NULL
5,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
6,Water,NULL,Water,NULL,NULL,NULL,NULL,NULL
7,Water,NULL,Water,NULL,NULL,NULL,NULL,Water
8,Water,NULL,Water,Water,NULL,NULL,NULL,Water
9,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
10,Water,Water,Water,Water,NULL,NULL,NULL,Water
11,Water,Water,Water,Water,NULL,Water,NULL,Water
12,Water,Water,Water,Water,NULL,Water,Water,Water
13,Permanent_ice_and_snow,NULL,Water,NULL,NULL,NULL,NULL,NULL
