Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_42VUP_M_R,Shrubland,3,2,3,1,1,2,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUP_M_R,Grassland,0,0,3,1,1,1,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUP_M_R,Cropland,10,0,10,4,6,2,0,9,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUP_M_R,Wetland,37,11,0,6,17,10,26,33,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUP_M_R,Lichens_and_Mosses,2,0,3,0,2,2,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUP_M_R,Bareland,13,4,6,6,0,4,11,12,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUP_M_R,Built-up,21,7,15,5,14,0,12,19,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUP_M_R,Water,36,1,36,9,22,5,0,33,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUP_M_R,Forest,21,4,20,8,15,12,13,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUP_M_R,Permanent_ice_and_snow,6,0,1,4,7,3,1,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,Cropland,0,0,0,0,0,0,0,0,10,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,Bareland,0,0,3,0,0,0,2,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,Built-up,0,0,2,0,0,0,1,0,16,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,Forest,0,0,3,0,0,0,2,0,23,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,Wetland,0,0,0,0,0,0,2,0,96,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,Water,0,0,10,0,0,0,0,0,29,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,Grassland,0,0,0,0,0,0,4,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,Wetland,0,0,0,0,0,0,45,0,0,12,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,Lichens_and_Mosses,0,0,0,0,0,0,3,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,Bareland,0,0,0,0,0,0,19,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,Built-up,0,0,0,0,0,0,26,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,Water,0,0,0,0,0,0,0,0,0,42,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,Forest,0,0,0,0,0,0,30,0,0,6,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VUP_M_R,Water,11,16,10,12,23,21,0,19,0,0,16,0
SIBERIA_2024_GLC_FCS30D_2022_42VUP_M_R,Cropland,2,0,0,4,6,6,0,4,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_42VUP_M_R,Wetland,9,13,0,9,15,8,2,15,0,0,15,0
SIBERIA_2024_GLC_FCS30D_2022_42VUP_M_R,Bareland,2,4,3,3,0,12,2,8,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_42VUP_M_R,Built-up,6,10,2,12,17,0,1,12,0,0,10,0
SIBERIA_2024_GLC_FCS30D_2022_42VUP_M_R,Permanent_ice_and_snow,0,6,0,2,7,5,0,4,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_42VUP_M_R,Forest,8,12,3,10,17,14,2,0,0,0,13,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R,Grassland,0,1,3,0,1,2,2,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R,Wetland,0,8,0,0,8,11,13,15,0,0,0,7
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R,Bareland,0,2,3,0,0,3,2,3,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R,Built-up,0,1,1,0,3,0,2,3,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R,Water,0,2,19,0,8,11,0,14,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R,Forest,0,1,3,0,2,3,2,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R,Lichens_and_Mosses,0,0,1,0,0,1,0,2,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R,Cropland,0,0,0,0,0,1,0,1,0,0,0,0
