Dataset,MajorityClass,Grassland,Wetland,Forest,Built-up,Lichens_and_Mosses,Bareland,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_42VWL_M_R,Shrubland,1,2,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VWL_M_R,Grassland,0,1,1,1,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VWL_M_R,Cropland,11,8,8,2,2,3,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VWL_M_R,Wetland,33,0,25,3,0,1,20,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VWL_M_R,Bareland,8,6,7,1,0,0,1,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VWL_M_R,Built-up,10,5,12,0,0,8,3,7,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VWL_M_R,Water,30,20,31,8,4,18,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VWL_M_R,Forest,18,14,0,6,0,3,10,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VWL_M_R,Permanent_ice_and_snow,4,2,4,1,0,1,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VWL_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VWL_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VWL_M_R,Cropland,0,0,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VWL_M_R,Bareland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VWL_M_R,Built-up,0,1,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VWL_M_R,Forest,0,3,0,0,0,0,2,0,17,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VWL_M_R,Wetland,0,0,0,0,0,0,2,0,56,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VWL_M_R,Water,0,10,0,0,0,0,0,0,15,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VWL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VWL_M_R,Cropland,0,0,0,0,0,0,4,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VWL_M_R,Wetland,0,0,0,0,0,0,31,0,0,8,0,0
SIBERIA_2024_GSW_Yearly_2021_42VWL_M_R,Bareland,0,0,0,0,0,0,3,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VWL_M_R,Forest,0,0,0,0,0,0,21,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_42VWL_M_R,Water,0,0,0,0,0,0,0,0,0,39,0,0
SIBERIA_2024_GSW_Yearly_2021_42VWL_M_R,Built-up,0,0,0,0,0,0,3,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42VWL_M_R,Grassland,0,0,0,0,0,0,0,0,0,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VWL_M_R,Water,8,10,18,11,2,18,0,19,0,0,9,0
SIBERIA_2024_GLC_FCS30D_2022_42VWL_M_R,Cropland,0,0,6,4,0,6,0,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_42VWL_M_R,Wetland,0,0,11,3,0,13,2,10,0,0,8,0
SIBERIA_2024_GLC_FCS30D_2022_42VWL_M_R,Bareland,0,0,4,3,0,0,0,3,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VWL_M_R,Built-up,3,1,7,0,0,6,0,5,0,0,5,0
SIBERIA_2024_GLC_FCS30D_2022_42VWL_M_R,Permanent_ice_and_snow,0,0,2,3,0,3,0,3,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VWL_M_R,Forest,4,3,0,10,0,10,2,10,0,0,8,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VWL_M_R,Wetland,0,0,11,5,0,1,10,5,0,0,0,8
SIBERIA_2024_ESRI_Annual_LULC_2024_42VWL_M_R,Built-up,0,1,2,0,0,0,2,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VWL_M_R,Forest,0,3,0,3,0,1,2,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VWL_M_R,Water,0,14,13,1,0,0,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VWL_M_R,Grassland,0,0,1,1,0,0,2,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VWL_M_R,Cropland,0,0,1,1,0,0,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VWL_M_R,Bareland,0,0,1,1,0,0,2,0,0,0,0,0
