Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Bareland,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Built-up,Forest
SIBERIA_2024_WorldCover_2021_42XWF_M_R,Shrubland,40,48,27,27,6,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XWF_M_R,Grassland,0,3,3,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XWF_M_R,Wetland,94,0,94,98,59,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XWF_M_R,Lichens_and_Mosses,3,3,0,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XWF_M_R,Bareland,46,75,61,62,0,6,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XWF_M_R,Built-up,4,7,4,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XWF_M_R,Water,66,88,67,0,44,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XWF_M_R,Forest,6,24,1,8,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42XWF_M_R,Permanent_ice_and_snow,18,17,16,16,7,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,Shrubland,0,0,0,0,0,0,80,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,Grassland,0,0,0,0,0,0,18,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,26,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,Bareland,0,21,0,16,0,0,142,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,Built-up,0,0,0,0,0,0,7,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,Forest,0,0,0,0,0,0,31,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,Wetland,0,0,0,22,0,0,299,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,Water,0,39,0,0,0,0,97,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,28,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XWF_M_R,Shrubland,0,0,0,30,0,0,0,7,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XWF_M_R,Grassland,0,0,0,11,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XWF_M_R,Wetland,0,0,0,163,0,0,0,40,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XWF_M_R,Lichens_and_Mosses,0,0,0,17,0,0,0,6,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XWF_M_R,Bareland,0,0,0,92,0,0,0,33,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XWF_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42XWF_M_R,Water,0,0,0,0,0,0,0,89,0,0,0
