Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_43VCL_M_R,Shrubland,3,3,3,3,1,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCL_M_R,Grassland,0,3,1,1,1,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCL_M_R,Cropland,6,7,5,1,2,1,4,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCL_M_R,Wetland,36,0,22,20,3,25,29,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCL_M_R,Lichens_and_Mosses,3,3,0,2,1,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCL_M_R,Bareland,6,3,5,0,4,2,5,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCL_M_R,Built-up,9,8,8,9,0,3,10,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCL_M_R,Water,24,31,16,14,1,0,23,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCL_M_R,Forest,16,14,8,8,4,8,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VCL_M_R,Permanent_ice_and_snow,12,8,6,6,6,2,6,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,Cropland,0,0,0,0,0,0,0,0,7,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,Bareland,0,1,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,Built-up,0,0,0,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,Forest,0,3,0,0,0,2,0,0,17,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,Wetland,0,0,0,0,0,2,0,0,105,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,Water,0,6,0,0,0,0,0,0,20,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,Shrubland,0,0,0,0,0,5,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,Grassland,0,0,0,0,0,4,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,Wetland,0,0,0,0,0,51,0,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,Lichens_and_Mosses,0,0,0,0,0,4,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,Bareland,0,0,0,0,0,9,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,Built-up,0,0,0,0,0,11,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,Water,0,0,0,0,0,0,0,0,0,32,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,Forest,0,0,0,0,0,20,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,Permanent_ice_and_snow,0,0,0,0,0,7,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VCL_M_R,Water,4,6,3,15,3,0,15,0,0,0,14,0
SIBERIA_2024_GLC_FCS30D_2022_43VCL_M_R,Cropland,1,0,2,8,1,0,2,0,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_43VCL_M_R,Wetland,9,0,12,18,13,2,16,0,0,0,18,7
SIBERIA_2024_GLC_FCS30D_2022_43VCL_M_R,Bareland,0,1,0,0,1,0,2,0,0,0,3,1
SIBERIA_2024_GLC_FCS30D_2022_43VCL_M_R,Built-up,3,0,4,10,0,0,5,0,0,0,4,2
SIBERIA_2024_GLC_FCS30D_2022_43VCL_M_R,Permanent_ice_and_snow,3,0,4,12,4,0,10,0,0,0,7,2
SIBERIA_2024_GLC_FCS30D_2022_43VCL_M_R,Forest,2,3,3,14,3,2,0,0,0,0,7,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCL_M_R,Grassland,0,3,0,0,1,0,1,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCL_M_R,Wetland,0,0,0,2,7,8,9,17,0,0,0,6
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCL_M_R,Bareland,0,3,0,0,1,1,1,3,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCL_M_R,Forest,0,3,0,1,1,2,0,3,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCL_M_R,Water,0,23,0,5,5,0,9,14,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCL_M_R,Lichens_and_Mosses,0,2,0,0,1,0,1,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VCL_M_R,Built-up,0,1,0,0,0,0,1,1,0,0,0,0
