Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Built-up,Water,Lichens_and_Mosses,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43VEF_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEF_M_R,Grassland,0,1,3,2,1,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEF_M_R,Cropland,4,5,4,2,2,1,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEF_M_R,Wetland,30,0,29,6,7,18,2,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEF_M_R,Lichens_and_Mosses,1,1,1,1,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEF_M_R,Bareland,7,5,7,0,5,2,2,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEF_M_R,Built-up,10,5,9,11,0,0,0,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEF_M_R,Water,27,20,30,14,5,0,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEF_M_R,Forest,15,16,0,6,6,9,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VEF_M_R,Permanent_ice_and_snow,5,3,6,1,4,3,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,Grassland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,Cropland,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,Bareland,0,1,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,Built-up,0,1,0,0,0,1,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,Forest,0,3,0,0,0,2,0,0,19,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,Wetland,0,0,0,0,0,2,0,0,66,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,Water,0,8,0,0,0,0,0,0,14,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,Grassland,0,0,0,0,0,3,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,Cropland,0,0,0,0,0,4,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,Wetland,0,0,0,0,0,30,0,0,0,9,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,Bareland,0,0,0,0,0,6,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,Built-up,0,0,0,0,0,8,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,Water,0,0,0,0,0,0,0,0,0,27,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,Forest,0,0,0,0,0,20,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VEF_M_R,Water,10,8,15,17,8,0,0,11,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VEF_M_R,Cropland,0,0,2,1,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VEF_M_R,Wetland,7,0,11,14,6,2,1,14,0,0,2,0
SIBERIA_2024_GLC_FCS30D_2022_43VEF_M_R,Bareland,1,1,4,0,3,0,0,4,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VEF_M_R,Built-up,5,1,8,7,0,1,0,8,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VEF_M_R,Permanent_ice_and_snow,1,0,5,7,2,0,1,3,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VEF_M_R,Forest,6,3,0,11,5,2,1,11,0,0,4,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEF_M_R,Wetland,0,0,13,4,3,9,0,4,0,0,0,8
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEF_M_R,Forest,0,3,0,1,3,2,0,1,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEF_M_R,Water,0,14,11,2,1,0,0,0,0,0,0,6
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEF_M_R,Grassland,0,2,1,1,1,1,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEF_M_R,Bareland,0,3,1,0,1,1,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEF_M_R,Built-up,0,3,2,1,0,1,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43VEF_M_R,Cropland,0,0,1,0,1,0,0,0,0,0,0,0
