Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43WDQ_M_R,Shrubland,30,32,21,16,10,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDQ_M_R,Grassland,0,3,3,2,3,2,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDQ_M_R,Wetland,72,0,54,65,30,29,5,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDQ_M_R,Lichens_and_Mosses,3,3,0,2,3,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDQ_M_R,Bareland,28,30,38,20,7,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDQ_M_R,Built-up,13,14,10,4,7,8,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDQ_M_R,Water,45,53,35,0,23,30,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDQ_M_R,Forest,30,36,16,14,0,10,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDQ_M_R,Permanent_ice_and_snow,14,16,11,11,10,9,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDQ_M_R,Shrubland,0,0,0,0,0,0,0,49,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDQ_M_R,Grassland,0,0,0,0,0,0,0,10,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDQ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,10,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDQ_M_R,Bareland,0,3,0,2,0,0,0,43,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDQ_M_R,Built-up,0,1,0,0,0,0,0,16,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDQ_M_R,Forest,0,4,0,2,0,0,0,47,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDQ_M_R,Wetland,0,0,0,14,0,0,0,196,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDQ_M_R,Water,0,16,0,0,0,0,0,42,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,16,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDQ_M_R,Shrubland,0,0,0,16,0,0,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDQ_M_R,Grassland,0,0,0,8,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDQ_M_R,Wetland,0,0,0,84,0,0,0,0,23,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDQ_M_R,Lichens_and_Mosses,0,0,0,12,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDQ_M_R,Bareland,0,0,0,36,0,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDQ_M_R,Built-up,0,0,0,13,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDQ_M_R,Water,0,0,0,0,0,0,0,0,61,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDQ_M_R,Forest,0,0,0,31,0,0,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDQ_M_R,Permanent_ice_and_snow,0,0,0,16,0,0,0,0,5,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WDQ_M_R,Water,17,23,22,0,40,35,13,0,0,14,0
SIBERIA_2024_GLC_FCS30D_2022_43WDQ_M_R,Wetland,25,0,25,16,43,48,17,0,0,25,0
SIBERIA_2024_GLC_FCS30D_2022_43WDQ_M_R,Bareland,11,3,19,2,20,0,14,0,0,12,0
