Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_43WFN_M_R,Shrubland,23,21,11,8,2,6,26,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFN_M_R,Grassland,0,3,2,1,1,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFN_M_R,Wetland,99,0,52,36,13,71,85,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFN_M_R,Lichens_and_Mosses,3,3,0,3,0,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFN_M_R,Bareland,56,44,45,0,9,31,39,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFN_M_R,Built-up,18,20,12,15,0,7,18,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFN_M_R,Water,60,62,37,38,8,0,61,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFN_M_R,Forest,36,38,16,23,7,26,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFN_M_R,Cropland,12,13,2,2,0,0,7,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFN_M_R,Permanent_ice_and_snow,10,11,5,7,3,3,10,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,Shrubland,0,0,0,0,0,0,0,0,39,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,Grassland,0,0,0,0,0,0,0,0,12,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,7,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,Bareland,0,19,0,0,0,7,0,0,90,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,Built-up,0,2,0,0,0,1,0,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,Forest,0,21,0,0,0,7,0,0,75,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,Cropland,0,0,0,0,0,0,0,0,13,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,Wetland,0,0,0,0,0,13,0,0,217,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,Water,0,28,0,0,0,0,0,0,48,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,11,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43WFN_M_R,Shrubland,0,0,0,0,0,12,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_43WFN_M_R,Grassland,0,0,0,0,0,6,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_43WFN_M_R,Wetland,0,0,0,0,0,135,0,0,0,29,0,0
