Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Non_Wetland,Non_Water,Shrubland,Built-up,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_44XNF_M_R,Shrubland,38,38,29,4,26,7,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XNF_M_R,Grassland,0,3,3,1,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XNF_M_R,Wetland,111,0,100,42,96,7,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XNF_M_R,Lichens_and_Mosses,3,3,0,3,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XNF_M_R,Bareland,48,35,60,0,51,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XNF_M_R,Built-up,8,9,10,10,8,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XNF_M_R,Water,71,62,81,36,0,5,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XNF_M_R,Forest,20,30,11,0,6,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_44XNF_M_R,Permanent_ice_and_snow,14,13,16,13,12,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XNF_M_R,Shrubland,0,0,0,0,0,0,65,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XNF_M_R,Grassland,0,0,0,0,0,0,19,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XNF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,20,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XNF_M_R,Bareland,0,17,0,0,2,0,69,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XNF_M_R,Built-up,0,0,0,0,0,0,9,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XNF_M_R,Forest,0,0,0,0,0,0,35,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XNF_M_R,Wetland,0,0,0,0,14,0,252,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_44XNF_M_R,Water,0,26,0,0,0,0,80,0,0,0,0
