Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Bareland,Non_Wetland,Non_Water,Shrubland,Built-up,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45WVN_M_R,Shrubland,3,3,1,2,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WVN_M_R,Grassland,0,3,1,0,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WVN_M_R,Cropland,5,5,0,0,6,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WVN_M_R,Wetland,33,0,18,23,33,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WVN_M_R,Lichens_and_Mosses,1,2,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WVN_M_R,Bareland,5,8,3,4,8,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WVN_M_R,Built-up,7,3,1,1,9,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WVN_M_R,Water,29,33,15,0,31,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WVN_M_R,Forest,19,20,6,11,0,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WVN_M_R,Permanent_ice_and_snow,7,16,5,5,12,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,Grassland,0,0,0,0,0,0,6,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,Bareland,0,0,0,0,0,0,8,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,Forest,0,3,0,2,0,0,23,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,Cropland,0,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,Wetland,0,0,0,2,0,0,79,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,Water,0,7,0,0,0,0,24,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,16,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WVN_M_R,Shrubland,0,0,0,3,0,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WVN_M_R,Grassland,0,0,0,6,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WVN_M_R,Wetland,0,0,0,38,0,0,0,7,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WVN_M_R,Bareland,0,0,0,5,0,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WVN_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WVN_M_R,Water,0,0,0,0,0,0,0,30,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WVN_M_R,Forest,0,0,0,24,0,0,0,6,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WVN_M_R,Permanent_ice_and_snow,0,0,0,11,0,0,0,1,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WVN_M_R,Water,10,7,0,0,15,17,0,0,18,15,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WVN_M_R,Cropland,2,0,0,0,3,3,0,0,3,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WVN_M_R,Wetland,9,0,5,2,10,15,0,0,15,13,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WVN_M_R,Bareland,0,0,0,0,4,0,0,0,3,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WVN_M_R,Built-up,1,0,1,0,1,3,0,0,3,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WVN_M_R,Permanent_ice_and_snow,4,0,0,0,9,10,0,0,10,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WVN_M_R,Forest,8,3,4,2,0,14,0,0,13,8,2,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WVN_M_R,Grassland,0,3,0,1,3,0,0,0,0,1,1,2
SIBERIA_2024_ESRI_Annual_LULC_2024_45WVN_M_R,Wetland,0,0,0,8,11,9,0,0,0,3,5,12
SIBERIA_2024_ESRI_Annual_LULC_2024_45WVN_M_R,Forest,0,3,0,2,0,3,0,0,0,1,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45WVN_M_R,Water,0,18,0,0,13,9,0,0,0,0,0,14
SIBERIA_2024_ESRI_Annual_LULC_2024_45WVN_M_R,Lichens_and_Mosses,0,1,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WVN_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0,0
