Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland,Built-up
SIBERIA_2024_WorldCover_2021_45WWU_M_R,Shrubland,3,3,3,3,2,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWU_M_R,Grassland,0,3,3,1,2,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWU_M_R,Wetland,32,0,35,26,28,0,26,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWU_M_R,Lichens_and_Mosses,3,3,0,3,2,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWU_M_R,Bareland,6,6,12,0,10,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWU_M_R,Built-up,2,0,6,2,2,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWU_M_R,Water,33,30,37,27,0,0,29,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWU_M_R,Permanent_ice_and_snow,19,15,19,9,16,0,9,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWU_M_R,Forest,16,18,16,3,11,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWU_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWU_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWU_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWU_M_R,Bareland,0,3,0,0,0,0,0,9,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWU_M_R,Forest,0,3,0,0,2,0,0,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWU_M_R,Wetland,0,0,0,0,2,0,0,95,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWU_M_R,Water,0,7,0,0,0,0,0,24,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,15,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWU_M_R,Shrubland,0,0,0,0,5,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWU_M_R,Grassland,0,0,0,0,8,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWU_M_R,Wetland,0,0,0,0,54,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWU_M_R,Lichens_and_Mosses,0,0,0,0,9,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWU_M_R,Bareland,0,0,0,0,20,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWU_M_R,Built-up,0,0,0,0,4,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWU_M_R,Water,0,0,0,0,0,0,0,0,55,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWU_M_R,Forest,0,0,0,0,29,0,0,0,7,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWU_M_R,Permanent_ice_and_snow,0,0,0,0,24,0,0,0,6,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWU_M_R,Water,20,7,19,21,0,2,18,0,0,24,10
SIBERIA_2024_GLC_FCS30D_2022_45WWU_M_R,Wetland,13,0,14,14,2,0,13,0,0,18,9
SIBERIA_2024_GLC_FCS30D_2022_45WWU_M_R,Bareland,5,3,5,0,0,0,2,0,0,9,0
SIBERIA_2024_GLC_FCS30D_2022_45WWU_M_R,Built-up,1,0,0,2,0,0,0,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_45WWU_M_R,Permanent_ice_and_snow,13,0,9,15,0,0,10,0,0,17,7
SIBERIA_2024_GLC_FCS30D_2022_45WWU_M_R,Forest,11,3,9,13,2,1,0,0,0,16,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWU_M_R,Water,0,22,0,11,0,24,15,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWU_M_R,Grassland,0,3,0,2,2,3,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWU_M_R,Lichens_and_Mosses,0,3,0,3,2,3,3,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWU_M_R,Bareland,0,3,0,0,2,3,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWU_M_R,Forest,0,3,0,1,2,3,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWU_M_R,Wetland,0,0,0,8,12,17,15,0,0,0,1
