Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Non_Wetland,Non_Water,Shrubland,Built-up,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45WWV_M_R,Shrubland,3,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWV_M_R,Grassland,0,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWV_M_R,Wetland,32,0,34,25,27,22,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWV_M_R,Lichens_and_Mosses,3,3,0,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWV_M_R,Bareland,7,11,14,0,11,4,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWV_M_R,Built-up,5,1,7,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWV_M_R,Water,30,31,30,24,0,18,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWV_M_R,Forest,15,20,11,2,9,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWV_M_R,Permanent_ice_and_snow,16,16,14,7,12,6,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWV_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWV_M_R,Grassland,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWV_M_R,Bareland,0,3,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWV_M_R,Forest,0,1,0,0,1,0,23,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWV_M_R,Wetland,0,0,0,0,2,0,95,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWV_M_R,Water,0,7,0,0,0,0,25,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWV_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,16,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWV_M_R,Shrubland,0,0,0,0,5,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWV_M_R,Grassland,0,0,0,0,8,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWV_M_R,Wetland,0,0,0,0,56,0,0,10,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWV_M_R,Lichens_and_Mosses,0,0,0,0,9,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWV_M_R,Bareland,0,0,0,0,22,0,0,6,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWV_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWV_M_R,Water,0,0,0,0,0,0,0,42,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWV_M_R,Forest,0,0,0,0,22,0,0,6,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWV_M_R,Permanent_ice_and_snow,0,0,0,0,19,0,0,5,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWV_M_R,Water,20,7,18,18,0,17,0,0,24,7,0
SIBERIA_2024_GLC_FCS30D_2022_45WWV_M_R,Wetland,14,0,13,15,2,13,0,0,18,10,0
SIBERIA_2024_GLC_FCS30D_2022_45WWV_M_R,Bareland,5,3,8,0,0,0,0,0,14,3,0
SIBERIA_2024_GLC_FCS30D_2022_45WWV_M_R,Built-up,1,0,1,4,0,0,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWV_M_R,Permanent_ice_and_snow,11,0,11,12,0,10,0,0,18,6,0
SIBERIA_2024_GLC_FCS30D_2022_45WWV_M_R,Forest,11,1,8,11,1,0,0,0,15,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWV_M_R,Water,0,22,0,8,0,8,0,0,0,0,22
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWV_M_R,Grassland,0,3,0,2,2,3,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWV_M_R,Lichens_and_Mosses,0,3,0,3,2,3,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWV_M_R,Bareland,0,3,0,0,2,0,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWV_M_R,Forest,0,3,0,0,1,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWV_M_R,Wetland,0,0,0,8,11,14,0,0,0,0,18
