Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Non_Wetland,Non_Water,Shrubland,Built-up,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45XWA_M_R,Shrubland,3,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWA_M_R,Grassland,0,3,3,2,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWA_M_R,Wetland,30,0,31,17,27,13,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWA_M_R,Lichens_and_Mosses,3,3,0,3,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWA_M_R,Bareland,7,5,13,0,10,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWA_M_R,Built-up,2,3,3,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWA_M_R,Water,32,28,32,23,0,15,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWA_M_R,Forest,13,16,11,0,5,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWA_M_R,Permanent_ice_and_snow,13,14,13,6,13,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWA_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWA_M_R,Grassland,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWA_M_R,Bareland,0,3,0,0,0,0,7,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWA_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWA_M_R,Forest,0,0,0,0,0,0,17,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWA_M_R,Wetland,0,0,0,0,2,0,76,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWA_M_R,Water,0,7,0,0,0,0,23,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWA_M_R,Shrubland,0,0,0,0,5,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWA_M_R,Grassland,0,0,0,0,7,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWA_M_R,Wetland,0,0,0,0,44,0,0,9,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWA_M_R,Lichens_and_Mosses,0,0,0,0,8,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWA_M_R,Bareland,0,0,0,0,20,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWA_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWA_M_R,Water,0,0,0,0,0,0,0,42,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWA_M_R,Forest,0,0,0,0,14,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWA_M_R,Permanent_ice_and_snow,0,0,0,0,14,0,0,6,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45XWA_M_R,Water,17,7,17,17,0,16,0,0,24,9,0
SIBERIA_2024_GLC_FCS30D_2022_45XWA_M_R,Wetland,12,0,10,12,2,11,0,0,17,4,0
SIBERIA_2024_GLC_FCS30D_2022_45XWA_M_R,Bareland,3,3,4,0,0,0,0,0,9,4,0
SIBERIA_2024_GLC_FCS30D_2022_45XWA_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45XWA_M_R,Permanent_ice_and_snow,9,0,7,12,0,9,0,0,16,6,0
SIBERIA_2024_GLC_FCS30D_2022_45XWA_M_R,Forest,7,0,3,10,0,0,0,0,14,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWA_M_R,Water,0,20,0,6,0,4,0,0,0,0,22
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWA_M_R,Grassland,0,3,0,0,2,3,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWA_M_R,Lichens_and_Mosses,0,3,0,3,2,3,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWA_M_R,Bareland,0,2,0,0,2,0,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWA_M_R,Forest,0,1,0,0,1,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45XWA_M_R,Wetland,0,0,0,7,10,10,0,0,0,0,16
