Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VNF_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VNF_M_R,SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VNF_M_R,SIBERIA_2024_WorldCover_2021_41VNF_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,Cropland,NULL,Non_Wetland,Wetland
32,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,Cropland,NULL,Non_Wetland,Forest
35,NULL,Cropland,Non_Water,Non_Wetland,Grassland
36,NULL,Cropland,Non_Water,Non_Wetland,Cropland
37,NULL,Cropland,Non_Water,Non_Wetland,Wetland
38,NULL,Cropland,Non_Water,Non_Wetland,Bareland
39,NULL,Cropland,Non_Water,Non_Wetland,Forest
40,NULL,Cropland,Water,Non_Wetland,Grassland
41,NULL,Cropland,Water,Non_Wetland,Cropland
42,NULL,Cropland,Water,Non_Wetland,Wetland
43,NULL,Cropland,Water,Non_Wetland,Forest
44,NULL,Wetland,NULL,Wetland,NULL
45,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,Wetland,NULL,Wetland,Cropland
47,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,Wetland,NULL,Wetland,Water
49,NULL,Wetland,NULL,Wetland,Forest
50,NULL,Wetland,Non_Water,Wetland,NULL
51,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,Wetland,Non_Water,Wetland,Cropland
53,NULL,Wetland,Non_Water,Wetland,Wetland
54,NULL,Wetland,Non_Water,Wetland,Water
55,NULL,Wetland,Non_Water,Wetland,Forest
56,NULL,Wetland,Water,Wetland,Grassland
57,NULL,Wetland,Water,Wetland,Cropland
58,NULL,Wetland,Water,Wetland,Wetland
59,NULL,Wetland,Water,Wetland,Water
60,NULL,Wetland,Water,Wetland,Forest
61,NULL,Bareland,NULL,Non_Wetland,NULL
62,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,Bareland,NULL,Non_Wetland,Cropland
64,NULL,Bareland,NULL,Non_Wetland,Wetland
65,NULL,Bareland,NULL,Non_Wetland,Bareland
66,NULL,Bareland,NULL,Non_Wetland,Built-up
67,NULL,Bareland,NULL,Non_Wetland,Forest
68,NULL,Bareland,Non_Water,Non_Wetland,Grassland
69,NULL,Bareland,Non_Water,Non_Wetland,Wetland
70,NULL,Bareland,Non_Water,Non_Wetland,Forest
71,NULL,Bareland,Water,Non_Wetland,Grassland
72,NULL,Bareland,Water,Non_Wetland,Wetland
73,NULL,Bareland,Water,Non_Wetland,Forest
74,NULL,Built-up,NULL,Non_Wetland,Grassland
75,NULL,Built-up,NULL,Non_Wetland,Cropland
76,NULL,Built-up,NULL,Non_Wetland,Wetland
77,NULL,Built-up,NULL,Non_Wetland,Bareland
78,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,Built-up,NULL,Non_Wetland,Forest
80,NULL,Built-up,Non_Water,Non_Wetland,Wetland
81,NULL,Built-up,Water,Non_Wetland,Forest
82,NULL,Water,NULL,Water,NULL
83,NULL,Water,NULL,Water,Grassland
84,NULL,Water,NULL,Water,Wetland
85,NULL,Water,NULL,Water,Water
86,NULL,Water,NULL,Water,Forest
87,NULL,Water,Non_Water,Water,Grassland
88,NULL,Water,Non_Water,Water,Cropland
89,NULL,Water,Non_Water,Water,Wetland
90,NULL,Water,Non_Water,Water,Forest
91,NULL,Water,Water,Water,Grassland
92,NULL,Water,Water,Water,Cropland
93,NULL,Water,Water,Water,Wetland
94,NULL,Water,Water,Water,Water
95,NULL,Water,Water,Water,Forest
96,NULL,Forest,NULL,Non_Wetland,NULL
97,NULL,Forest,NULL,Non_Wetland,Grassland
98,NULL,Forest,NULL,Non_Wetland,Cropland
99,NULL,Forest,NULL,Non_Wetland,Wetland
100,NULL,Forest,NULL,Non_Wetland,Bareland
101,NULL,Forest,NULL,Non_Wetland,Built-up
102,NULL,Forest,NULL,Non_Wetland,Water
103,NULL,Forest,NULL,Non_Wetland,Forest
104,NULL,Forest,Non_Water,Non_Wetland,NULL
105,NULL,Forest,Non_Water,Non_Wetland,Grassland
106,NULL,Forest,Non_Water,Non_Wetland,Cropland
107,NULL,Forest,Non_Water,Non_Wetland,Wetland
108,NULL,Forest,Non_Water,Non_Wetland,Bareland
109,NULL,Forest,Non_Water,Non_Wetland,Water
110,NULL,Forest,Non_Water,Non_Wetland,Forest
111,NULL,Forest,Water,Non_Wetland,Grassland
112,NULL,Forest,Water,Non_Wetland,Cropland
113,NULL,Forest,Water,Non_Wetland,Wetland
114,NULL,Forest,Water,Non_Wetland,Water
115,NULL,Forest,Water,Non_Wetland,Forest
116,Cropland,NULL,NULL,Non_Wetland,Grassland
117,Cropland,NULL,NULL,Non_Wetland,Wetland
118,Cropland,Shrubland,NULL,Non_Wetland,Grassland
119,Cropland,Shrubland,NULL,Non_Wetland,Wetland
120,Cropland,Cropland,NULL,Non_Wetland,Grassland
121,Cropland,Cropland,NULL,Non_Wetland,Cropland
122,Cropland,Cropland,NULL,Non_Wetland,Wetland
123,Cropland,Cropland,NULL,Non_Wetland,Built-up
124,Cropland,Cropland,NULL,Non_Wetland,Forest
125,Cropland,Wetland,NULL,Wetland,NULL
126,Cropland,Bareland,NULL,Non_Wetland,Grassland
127,Cropland,Built-up,NULL,Non_Wetland,Grassland
128,Cropland,Built-up,NULL,Non_Wetland,Cropland
129,Cropland,Built-up,NULL,Non_Wetland,Wetland
130,Cropland,Built-up,NULL,Non_Wetland,Forest
131,Cropland,Forest,NULL,Non_Wetland,Grassland
132,Cropland,Forest,NULL,Non_Wetland,Cropland
133,Cropland,Forest,NULL,Non_Wetland,Wetland
134,Cropland,Forest,NULL,Non_Wetland,Forest
135,Wetland,NULL,NULL,Non_Wetland,Grassland
136,Wetland,NULL,NULL,Non_Wetland,Wetland
137,Wetland,NULL,NULL,Non_Wetland,Water
138,Wetland,NULL,NULL,Non_Wetland,Forest
139,Wetland,NULL,Non_Water,Non_Wetland,Grassland
140,Wetland,NULL,Non_Water,Non_Wetland,Wetland
141,Wetland,NULL,Non_Water,Non_Wetland,Water
142,Wetland,NULL,Non_Water,Non_Wetland,Forest
143,Wetland,NULL,Water,Non_Wetland,Grassland
144,Wetland,Shrubland,NULL,Non_Wetland,Grassland
145,Wetland,Shrubland,NULL,Non_Wetland,Forest
146,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
147,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
148,Wetland,Shrubland,Water,Non_Wetland,Grassland
149,Wetland,Shrubland,Water,Non_Wetland,Water
150,Wetland,Cropland,NULL,Non_Wetland,Grassland
151,Wetland,Cropland,NULL,Non_Wetland,Wetland
152,Wetland,Cropland,NULL,Non_Wetland,Water
153,Wetland,Cropland,NULL,Non_Wetland,Forest
154,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
155,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
156,Wetland,Cropland,Non_Water,Non_Wetland,Water
157,Wetland,Cropland,Non_Water,Non_Wetland,Forest
158,Wetland,Cropland,Water,Non_Wetland,Grassland
159,Wetland,Cropland,Water,Non_Wetland,Water
160,Wetland,Wetland,NULL,Wetland,NULL
161,Wetland,Wetland,NULL,Wetland,Grassland
162,Wetland,Wetland,NULL,Wetland,Wetland
163,Wetland,Wetland,NULL,Wetland,Water
164,Wetland,Wetland,NULL,Wetland,Forest
165,Wetland,Wetland,Non_Water,Wetland,Grassland
166,Wetland,Wetland,Non_Water,Wetland,Wetland
167,Wetland,Wetland,Non_Water,Wetland,Water
168,Wetland,Wetland,Non_Water,Wetland,Forest
169,Wetland,Wetland,Water,Wetland,Grassland
170,Wetland,Wetland,Water,Wetland,Cropland
171,Wetland,Wetland,Water,Wetland,Wetland
172,Wetland,Wetland,Water,Wetland,Water
173,Wetland,Wetland,Water,Wetland,Forest
174,Wetland,Bareland,NULL,Non_Wetland,Grassland
175,Wetland,Bareland,NULL,Non_Wetland,Wetland
176,Wetland,Bareland,NULL,Non_Wetland,Water
177,Wetland,Bareland,NULL,Non_Wetland,Forest
178,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
179,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
180,Wetland,Bareland,Non_Water,Non_Wetland,Water
181,Wetland,Bareland,Non_Water,Non_Wetland,Forest
182,Wetland,Bareland,Water,Non_Wetland,Grassland
183,Wetland,Water,NULL,Water,Grassland
184,Wetland,Water,NULL,Water,Wetland
185,Wetland,Water,NULL,Water,Water
186,Wetland,Water,NULL,Water,Forest
187,Wetland,Water,Non_Water,Water,Grassland
188,Wetland,Water,Non_Water,Water,Wetland
189,Wetland,Water,Non_Water,Water,Water
190,Wetland,Water,Non_Water,Water,Forest
191,Wetland,Water,Water,Water,Grassland
192,Wetland,Water,Water,Water,Wetland
193,Wetland,Water,Water,Water,Water
194,Wetland,Water,Water,Water,Forest
195,Wetland,Forest,NULL,Non_Wetland,NULL
196,Wetland,Forest,NULL,Non_Wetland,Grassland
197,Wetland,Forest,NULL,Non_Wetland,Wetland
198,Wetland,Forest,NULL,Non_Wetland,Water
199,Wetland,Forest,NULL,Non_Wetland,Forest
200,Wetland,Forest,Non_Water,Non_Wetland,Grassland
201,Wetland,Forest,Non_Water,Non_Wetland,Wetland
202,Wetland,Forest,Non_Water,Non_Wetland,Water
203,Wetland,Forest,Non_Water,Non_Wetland,Forest
204,Wetland,Forest,Water,Non_Wetland,Grassland
205,Wetland,Forest,Water,Non_Wetland,Wetland
206,Wetland,Forest,Water,Non_Wetland,Water
207,Wetland,Forest,Water,Non_Wetland,Forest
208,Bareland,Forest,NULL,Non_Wetland,Grassland
209,Built-up,NULL,NULL,Non_Wetland,Grassland
210,Built-up,NULL,NULL,Non_Wetland,Cropland
211,Built-up,NULL,NULL,Non_Wetland,Forest
212,Built-up,Shrubland,NULL,Non_Wetland,NULL
213,Built-up,Shrubland,NULL,Non_Wetland,Grassland
214,Built-up,Shrubland,NULL,Non_Wetland,Cropland
215,Built-up,Shrubland,NULL,Non_Wetland,Built-up
216,Built-up,Shrubland,NULL,Non_Wetland,Forest
217,Built-up,Grassland,NULL,Non_Wetland,Forest
218,Built-up,Cropland,NULL,Non_Wetland,NULL
219,Built-up,Cropland,NULL,Non_Wetland,Grassland
220,Built-up,Cropland,NULL,Non_Wetland,Cropland
221,Built-up,Cropland,NULL,Non_Wetland,Wetland
222,Built-up,Cropland,NULL,Non_Wetland,Bareland
223,Built-up,Cropland,NULL,Non_Wetland,Built-up
224,Built-up,Cropland,NULL,Non_Wetland,Forest
225,Built-up,Wetland,NULL,Wetland,Wetland
226,Built-up,Bareland,NULL,Non_Wetland,Grassland
227,Built-up,Bareland,NULL,Non_Wetland,Cropland
228,Built-up,Bareland,NULL,Non_Wetland,Bareland
229,Built-up,Bareland,NULL,Non_Wetland,Built-up
230,Built-up,Bareland,NULL,Non_Wetland,Forest
231,Built-up,Built-up,NULL,Non_Wetland,NULL
232,Built-up,Built-up,NULL,Non_Wetland,Grassland
233,Built-up,Built-up,NULL,Non_Wetland,Cropland
234,Built-up,Built-up,NULL,Non_Wetland,Bareland
235,Built-up,Built-up,NULL,Non_Wetland,Built-up
236,Built-up,Built-up,NULL,Non_Wetland,Forest
237,Built-up,Forest,NULL,Non_Wetland,NULL
238,Built-up,Forest,NULL,Non_Wetland,Grassland
239,Built-up,Forest,NULL,Non_Wetland,Cropland
240,Built-up,Forest,NULL,Non_Wetland,Wetland
241,Built-up,Forest,NULL,Non_Wetland,Built-up
242,Built-up,Forest,NULL,Non_Wetland,Forest
243,Water,NULL,NULL,Non_Wetland,Grassland
244,Water,NULL,NULL,Non_Wetland,Wetland
245,Water,NULL,NULL,Non_Wetland,Water
246,Water,NULL,NULL,Non_Wetland,Forest
247,Water,NULL,Non_Water,Non_Wetland,Grassland
248,Water,NULL,Non_Water,Non_Wetland,Wetland
249,Water,NULL,Non_Water,Non_Wetland,Water
250,Water,NULL,Non_Water,Non_Wetland,Forest
251,Water,NULL,Water,Non_Wetland,Grassland
252,Water,NULL,Water,Non_Wetland,Wetland
253,Water,NULL,Water,Non_Wetland,Water
254,Water,NULL,Water,Non_Wetland,Forest
255,Water,Shrubland,NULL,Non_Wetland,Grassland
256,Water,Shrubland,NULL,Non_Wetland,Wetland
257,Water,Shrubland,NULL,Non_Wetland,Water
258,Water,Shrubland,NULL,Non_Wetland,Forest
259,Water,Shrubland,Non_Water,Non_Wetland,Grassland
260,Water,Shrubland,Non_Water,Non_Wetland,Water
261,Water,Shrubland,Non_Water,Non_Wetland,Forest
262,Water,Shrubland,Water,Non_Wetland,Grassland
263,Water,Shrubland,Water,Non_Wetland,Water
264,Water,Shrubland,Water,Non_Wetland,Forest
265,Water,Grassland,Water,Non_Wetland,Grassland
266,Water,Cropland,NULL,Non_Wetland,Grassland
267,Water,Cropland,NULL,Non_Wetland,Cropland
268,Water,Cropland,NULL,Non_Wetland,Wetland
269,Water,Cropland,NULL,Non_Wetland,Water
270,Water,Cropland,NULL,Non_Wetland,Forest
271,Water,Cropland,Non_Water,Non_Wetland,Grassland
272,Water,Cropland,Non_Water,Non_Wetland,Wetland
273,Water,Cropland,Non_Water,Non_Wetland,Water
274,Water,Cropland,Non_Water,Non_Wetland,Forest
