Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VNH_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VNH_M_R,SIBERIA_2024_GSW_Yearly_2021_41VNH_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VNH_M_R,SIBERIA_2024_WorldCover_2021_41VNH_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,Non_Wetland,Bareland
6,NULL,NULL,NULL,Non_Wetland,Built-up
7,NULL,NULL,NULL,Non_Wetland,Water
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,Water,Non_Wetland,Cropland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,Shrubland,NULL,Non_Wetland,Cropland
21,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,Shrubland,Non_Water,Non_Wetland,NULL
28,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
30,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
33,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
34,NULL,Shrubland,Non_Water,Non_Wetland,Water
35,NULL,Shrubland,Non_Water,Non_Wetland,Forest
36,NULL,Shrubland,Water,Non_Wetland,Grassland
37,NULL,Shrubland,Water,Non_Wetland,Wetland
38,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
39,NULL,Shrubland,Water,Non_Wetland,Bareland
40,NULL,Shrubland,Water,Non_Wetland,Water
41,NULL,Shrubland,Water,Non_Wetland,Forest
42,NULL,Grassland,NULL,Non_Wetland,NULL
43,NULL,Grassland,NULL,Non_Wetland,Grassland
44,NULL,Grassland,NULL,Non_Wetland,Cropland
45,NULL,Grassland,NULL,Non_Wetland,Wetland
46,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Grassland,NULL,Non_Wetland,Bareland
48,NULL,Grassland,NULL,Non_Wetland,Built-up
49,NULL,Grassland,NULL,Non_Wetland,Forest
50,NULL,Grassland,Non_Water,Non_Wetland,Grassland
51,NULL,Grassland,Non_Water,Non_Wetland,Wetland
52,NULL,Grassland,Water,Non_Wetland,Grassland
53,NULL,Grassland,Water,Non_Wetland,Forest
54,NULL,Cropland,NULL,Non_Wetland,NULL
55,NULL,Cropland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,NULL,Non_Wetland,Cropland
57,NULL,Cropland,NULL,Non_Wetland,Wetland
58,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
59,NULL,Cropland,NULL,Non_Wetland,Bareland
60,NULL,Cropland,NULL,Non_Wetland,Built-up
61,NULL,Cropland,NULL,Non_Wetland,Water
62,NULL,Cropland,NULL,Non_Wetland,Forest
63,NULL,Cropland,Non_Water,Non_Wetland,Grassland
64,NULL,Cropland,Non_Water,Non_Wetland,Cropland
65,NULL,Cropland,Non_Water,Non_Wetland,Wetland
66,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
67,NULL,Cropland,Non_Water,Non_Wetland,Bareland
68,NULL,Cropland,Non_Water,Non_Wetland,Forest
69,NULL,Cropland,Water,Non_Wetland,Grassland
70,NULL,Cropland,Water,Non_Wetland,Cropland
71,NULL,Cropland,Water,Non_Wetland,Wetland
72,NULL,Cropland,Water,Non_Wetland,Bareland
73,NULL,Cropland,Water,Non_Wetland,Water
74,NULL,Cropland,Water,Non_Wetland,Forest
75,NULL,Wetland,NULL,Wetland,NULL
76,NULL,Wetland,NULL,Wetland,Grassland
77,NULL,Wetland,NULL,Wetland,Cropland
78,NULL,Wetland,NULL,Wetland,Wetland
79,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
80,NULL,Wetland,NULL,Wetland,Bareland
81,NULL,Wetland,NULL,Wetland,Built-up
82,NULL,Wetland,NULL,Wetland,Water
83,NULL,Wetland,NULL,Wetland,Forest
84,NULL,Wetland,Non_Water,Wetland,NULL
85,NULL,Wetland,Non_Water,Wetland,Grassland
86,NULL,Wetland,Non_Water,Wetland,Cropland
87,NULL,Wetland,Non_Water,Wetland,Wetland
88,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
89,NULL,Wetland,Non_Water,Wetland,Water
90,NULL,Wetland,Non_Water,Wetland,Forest
91,NULL,Wetland,Water,Wetland,NULL
92,NULL,Wetland,Water,Wetland,Grassland
93,NULL,Wetland,Water,Wetland,Cropland
94,NULL,Wetland,Water,Wetland,Wetland
95,NULL,Wetland,Water,Wetland,Bareland
96,NULL,Wetland,Water,Wetland,Water
97,NULL,Wetland,Water,Wetland,Forest
98,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
99,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
100,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
101,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
102,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
104,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
105,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
106,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
107,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
108,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
109,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
110,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
111,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
112,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
113,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
114,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
115,NULL,Lichens_and_Mosses,Water,Non_Wetland,Built-up
116,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
117,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
118,NULL,Bareland,NULL,Non_Wetland,NULL
119,NULL,Bareland,NULL,Non_Wetland,Grassland
120,NULL,Bareland,NULL,Non_Wetland,Cropland
121,NULL,Bareland,NULL,Non_Wetland,Wetland
122,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
123,NULL,Bareland,NULL,Non_Wetland,Bareland
124,NULL,Bareland,NULL,Non_Wetland,Built-up
125,NULL,Bareland,NULL,Non_Wetland,Water
126,NULL,Bareland,NULL,Non_Wetland,Forest
127,NULL,Bareland,Non_Water,Non_Wetland,NULL
128,NULL,Bareland,Non_Water,Non_Wetland,Grassland
129,NULL,Bareland,Non_Water,Non_Wetland,Wetland
130,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
131,NULL,Bareland,Non_Water,Non_Wetland,Bareland
132,NULL,Bareland,Non_Water,Non_Wetland,Built-up
133,NULL,Bareland,Non_Water,Non_Wetland,Water
134,NULL,Bareland,Non_Water,Non_Wetland,Forest
135,NULL,Bareland,Water,Non_Wetland,NULL
136,NULL,Bareland,Water,Non_Wetland,Grassland
137,NULL,Bareland,Water,Non_Wetland,Cropland
138,NULL,Bareland,Water,Non_Wetland,Wetland
139,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
140,NULL,Bareland,Water,Non_Wetland,Bareland
141,NULL,Bareland,Water,Non_Wetland,Water
142,NULL,Bareland,Water,Non_Wetland,Forest
143,NULL,Built-up,NULL,Non_Wetland,NULL
144,NULL,Built-up,NULL,Non_Wetland,Grassland
145,NULL,Built-up,NULL,Non_Wetland,Cropland
146,NULL,Built-up,NULL,Non_Wetland,Wetland
147,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Built-up,NULL,Non_Wetland,Bareland
149,NULL,Built-up,NULL,Non_Wetland,Built-up
150,NULL,Built-up,NULL,Non_Wetland,Water
151,NULL,Built-up,NULL,Non_Wetland,Forest
152,NULL,Built-up,Non_Water,Non_Wetland,NULL
153,NULL,Built-up,Non_Water,Non_Wetland,Grassland
154,NULL,Built-up,Non_Water,Non_Wetland,Wetland
155,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
156,NULL,Built-up,Non_Water,Non_Wetland,Bareland
157,NULL,Built-up,Non_Water,Non_Wetland,Built-up
158,NULL,Built-up,Non_Water,Non_Wetland,Water
159,NULL,Built-up,Non_Water,Non_Wetland,Forest
160,NULL,Built-up,Water,Non_Wetland,Grassland
161,NULL,Built-up,Water,Non_Wetland,Wetland
162,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
163,NULL,Built-up,Water,Non_Wetland,Bareland
164,NULL,Built-up,Water,Non_Wetland,Built-up
165,NULL,Built-up,Water,Non_Wetland,Water
166,NULL,Built-up,Water,Non_Wetland,Forest
167,NULL,Water,NULL,Water,NULL
168,NULL,Water,NULL,Water,Grassland
169,NULL,Water,NULL,Water,Cropland
170,NULL,Water,NULL,Water,Wetland
171,NULL,Water,NULL,Water,Lichens_and_Mosses
172,NULL,Water,NULL,Water,Bareland
173,NULL,Water,NULL,Water,Built-up
174,NULL,Water,NULL,Water,Water
175,NULL,Water,NULL,Water,Forest
176,NULL,Water,Non_Water,Water,Grassland
177,NULL,Water,Non_Water,Water,Cropland
178,NULL,Water,Non_Water,Water,Wetland
179,NULL,Water,Non_Water,Water,Water
180,NULL,Water,Non_Water,Water,Forest
181,NULL,Water,Water,Water,NULL
182,NULL,Water,Water,Water,Grassland
183,NULL,Water,Water,Water,Cropland
184,NULL,Water,Water,Water,Wetland
185,NULL,Water,Water,Water,Bareland
186,NULL,Water,Water,Water,Water
187,NULL,Water,Water,Water,Forest
188,NULL,Forest,NULL,Non_Wetland,NULL
189,NULL,Forest,NULL,Non_Wetland,Grassland
190,NULL,Forest,NULL,Non_Wetland,Cropland
191,NULL,Forest,NULL,Non_Wetland,Wetland
192,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
193,NULL,Forest,NULL,Non_Wetland,Bareland
194,NULL,Forest,NULL,Non_Wetland,Built-up
195,NULL,Forest,NULL,Non_Wetland,Water
196,NULL,Forest,NULL,Non_Wetland,Forest
197,NULL,Forest,Non_Water,Non_Wetland,NULL
198,NULL,Forest,Non_Water,Non_Wetland,Grassland
199,NULL,Forest,Non_Water,Non_Wetland,Cropland
200,NULL,Forest,Non_Water,Non_Wetland,Wetland
201,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
202,NULL,Forest,Non_Water,Non_Wetland,Built-up
203,NULL,Forest,Non_Water,Non_Wetland,Water
204,NULL,Forest,Non_Water,Non_Wetland,Forest
205,NULL,Forest,Water,Non_Wetland,NULL
206,NULL,Forest,Water,Non_Wetland,Grassland
207,NULL,Forest,Water,Non_Wetland,Cropland
208,NULL,Forest,Water,Non_Wetland,Wetland
209,NULL,Forest,Water,Non_Wetland,Bareland
210,NULL,Forest,Water,Non_Wetland,Water
211,NULL,Forest,Water,Non_Wetland,Forest
212,Cropland,NULL,NULL,Non_Wetland,Grassland
213,Cropland,NULL,NULL,Non_Wetland,Wetland
214,Cropland,NULL,NULL,Non_Wetland,Forest
215,Cropland,Shrubland,NULL,Non_Wetland,NULL
216,Cropland,Shrubland,NULL,Non_Wetland,Grassland
217,Cropland,Shrubland,NULL,Non_Wetland,Cropland
218,Cropland,Shrubland,NULL,Non_Wetland,Wetland
219,Cropland,Shrubland,NULL,Non_Wetland,Bareland
220,Cropland,Shrubland,NULL,Non_Wetland,Built-up
221,Cropland,Shrubland,NULL,Non_Wetland,Forest
222,Cropland,Grassland,NULL,Non_Wetland,Grassland
223,Cropland,Grassland,NULL,Non_Wetland,Cropland
224,Cropland,Cropland,NULL,Non_Wetland,NULL
225,Cropland,Cropland,NULL,Non_Wetland,Grassland
226,Cropland,Cropland,NULL,Non_Wetland,Cropland
227,Cropland,Cropland,NULL,Non_Wetland,Wetland
228,Cropland,Cropland,NULL,Non_Wetland,Bareland
229,Cropland,Cropland,NULL,Non_Wetland,Forest
230,Cropland,Wetland,NULL,Wetland,NULL
231,Cropland,Wetland,NULL,Wetland,Grassland
232,Cropland,Wetland,NULL,Wetland,Wetland
233,Cropland,Wetland,NULL,Wetland,Forest
234,Cropland,Wetland,Non_Water,Wetland,Wetland
235,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
236,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
237,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
238,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
239,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
240,Cropland,Bareland,NULL,Non_Wetland,NULL
241,Cropland,Bareland,NULL,Non_Wetland,Grassland
242,Cropland,Bareland,NULL,Non_Wetland,Cropland
243,Cropland,Bareland,NULL,Non_Wetland,Wetland
244,Cropland,Bareland,NULL,Non_Wetland,Bareland
245,Cropland,Bareland,NULL,Non_Wetland,Built-up
246,Cropland,Bareland,NULL,Non_Wetland,Forest
247,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
248,Cropland,Bareland,Water,Non_Wetland,NULL
249,Cropland,Bareland,Water,Non_Wetland,Bareland
250,Cropland,Built-up,NULL,Non_Wetland,NULL
251,Cropland,Built-up,NULL,Non_Wetland,Grassland
252,Cropland,Built-up,NULL,Non_Wetland,Cropland
253,Cropland,Built-up,NULL,Non_Wetland,Wetland
254,Cropland,Built-up,NULL,Non_Wetland,Bareland
255,Cropland,Built-up,NULL,Non_Wetland,Built-up
256,Cropland,Built-up,NULL,Non_Wetland,Forest
257,Cropland,Water,NULL,Water,Wetland
258,Cropland,Forest,NULL,Non_Wetland,NULL
259,Cropland,Forest,NULL,Non_Wetland,Grassland
260,Cropland,Forest,NULL,Non_Wetland,Wetland
261,Cropland,Forest,NULL,Non_Wetland,Bareland
