Value,SIBERIA_2024_ESA_CALU_2024_41XPA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41XPA_M_R,SIBERIA_2024_GLC_FCS30D_2022_41XPA_M_R,SIBERIA_2024_GSW_Yearly_2021_41XPA_M_R,SIBERIA_2024_GWL_FCS30D_2022_41XPA_M_R,SIBERIA_2024_WorldCover_2021_41XPA_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
1,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
2,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
3,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
4,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
5,NULL,NULL,Grassland,Water,Non_Wetland,NULL
6,NULL,NULL,Wetland,NULL,NULL,NULL
7,NULL,NULL,Wetland,NULL,Wetland,NULL
8,NULL,NULL,Wetland,Non_Water,Wetland,NULL
9,NULL,NULL,Wetland,Water,NULL,NULL
10,NULL,NULL,Wetland,Water,Wetland,NULL
11,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
12,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
13,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
14,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
15,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Bareland,Water,Non_Wetland,NULL
17,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
18,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Built-up,Water,Non_Wetland,NULL
20,NULL,NULL,Water,NULL,NULL,NULL
21,NULL,NULL,Water,NULL,Water,NULL
22,NULL,NULL,Water,Non_Water,Water,NULL
23,NULL,NULL,Water,Water,NULL,NULL
24,NULL,NULL,Water,Water,Water,NULL
25,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
26,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
27,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
28,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
29,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL
30,NULL,Wetland,Grassland,Water,Non_Wetland,NULL
31,NULL,Wetland,Wetland,NULL,Wetland,NULL
32,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
33,NULL,Wetland,Wetland,Water,Wetland,NULL
34,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
35,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
36,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
37,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
38,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL
39,NULL,Wetland,Bareland,Water,Non_Wetland,NULL
40,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
41,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL
42,NULL,Wetland,Built-up,Water,Non_Wetland,NULL
43,NULL,Wetland,Water,NULL,Water,NULL
44,NULL,Wetland,Water,Non_Water,Water,NULL
45,NULL,Wetland,Water,Water,Water,NULL
46,NULL,Bareland,Wetland,NULL,NULL,NULL
47,NULL,Bareland,Wetland,NULL,Wetland,NULL
48,NULL,Bareland,Wetland,Non_Water,NULL,NULL
49,NULL,Bareland,Wetland,Non_Water,Wetland,NULL
50,NULL,Bareland,Wetland,Water,NULL,NULL
51,NULL,Bareland,Wetland,Water,Wetland,NULL
52,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
53,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
54,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL
55,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
56,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
57,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
58,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
59,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL
60,NULL,Bareland,Built-up,Water,Non_Wetland,NULL
61,NULL,Bareland,Water,NULL,NULL,NULL
62,NULL,Bareland,Water,NULL,Water,NULL
63,NULL,Bareland,Water,Non_Water,NULL,NULL
64,NULL,Bareland,Water,Non_Water,Water,NULL
65,NULL,Bareland,Water,Water,NULL,NULL
66,NULL,Bareland,Water,Water,Water,NULL
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
68,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
69,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
70,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,NULL
71,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
72,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
73,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
74,NULL,Water,Shrubland,Water,Non_Wetland,NULL
75,NULL,Water,Grassland,NULL,Non_Wetland,NULL
76,NULL,Water,Grassland,Water,Non_Wetland,NULL
77,NULL,Water,Wetland,NULL,NULL,NULL
78,NULL,Water,Wetland,NULL,Wetland,NULL
79,NULL,Water,Wetland,Non_Water,NULL,NULL
80,NULL,Water,Wetland,Non_Water,Wetland,NULL
81,NULL,Water,Wetland,Water,NULL,NULL
82,NULL,Water,Wetland,Water,Wetland,NULL
83,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
84,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
85,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
86,NULL,Water,Bareland,NULL,Non_Wetland,NULL
87,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
88,NULL,Water,Bareland,Water,Non_Wetland,NULL
89,NULL,Water,Built-up,NULL,Non_Wetland,NULL
90,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL
91,NULL,Water,Built-up,Water,Non_Wetland,NULL
92,NULL,Water,Water,NULL,NULL,NULL
93,NULL,Water,Water,NULL,Water,NULL
94,NULL,Water,Water,Non_Water,NULL,NULL
95,NULL,Water,Water,Non_Water,Water,NULL
96,NULL,Water,Water,Water,NULL,NULL
97,NULL,Water,Water,Water,Water,NULL
98,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
99,NULL,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,NULL
100,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
101,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,NULL
102,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
103,NULL,Permanent_ice_and_snow,Wetland,Non_Water,NULL,NULL
104,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
105,NULL,Permanent_ice_and_snow,Wetland,Water,NULL,NULL
