Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUR_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUR_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R,SIBERIA_2024_WorldCover_2021_42VUR_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Bareland
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
29,NULL,Shrubland,Non_Water,Non_Wetland,Water
30,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,Shrubland,Water,Non_Wetland,Grassland
32,NULL,Shrubland,Water,Non_Wetland,Wetland
33,NULL,Shrubland,Water,Non_Wetland,Bareland
34,NULL,Shrubland,Water,Non_Wetland,Water
35,NULL,Shrubland,Water,Non_Wetland,Forest
36,NULL,Grassland,NULL,Non_Wetland,NULL
37,NULL,Grassland,NULL,Non_Wetland,Grassland
38,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,Grassland,NULL,Non_Wetland,Water
42,NULL,Grassland,NULL,Non_Wetland,Forest
43,NULL,Grassland,Non_Water,Non_Wetland,Grassland
44,NULL,Grassland,Non_Water,Non_Wetland,Wetland
45,NULL,Grassland,Non_Water,Non_Wetland,Forest
46,NULL,Grassland,Water,Non_Wetland,Grassland
47,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,Cropland,NULL,Non_Wetland,NULL
49,NULL,Cropland,NULL,Non_Wetland,Grassland
50,NULL,Cropland,NULL,Non_Wetland,Wetland
51,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
52,NULL,Cropland,NULL,Non_Wetland,Bareland
53,NULL,Cropland,NULL,Non_Wetland,Built-up
54,NULL,Cropland,NULL,Non_Wetland,Water
55,NULL,Cropland,NULL,Non_Wetland,Forest
56,NULL,Cropland,Non_Water,Non_Wetland,Grassland
57,NULL,Cropland,Non_Water,Non_Wetland,Wetland
58,NULL,Cropland,Non_Water,Non_Wetland,Bareland
59,NULL,Cropland,Non_Water,Non_Wetland,Water
60,NULL,Cropland,Non_Water,Non_Wetland,Forest
61,NULL,Cropland,Water,Non_Wetland,Grassland
62,NULL,Cropland,Water,Non_Wetland,Wetland
63,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
64,NULL,Cropland,Water,Non_Wetland,Bareland
65,NULL,Cropland,Water,Non_Wetland,Water
66,NULL,Cropland,Water,Non_Wetland,Forest
67,NULL,Wetland,NULL,Wetland,NULL
68,NULL,Wetland,NULL,Wetland,Grassland
69,NULL,Wetland,NULL,Wetland,Cropland
70,NULL,Wetland,NULL,Wetland,Wetland
71,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
72,NULL,Wetland,NULL,Wetland,Bareland
73,NULL,Wetland,NULL,Wetland,Built-up
74,NULL,Wetland,NULL,Wetland,Water
75,NULL,Wetland,NULL,Wetland,Forest
76,NULL,Wetland,Non_Water,Wetland,NULL
77,NULL,Wetland,Non_Water,Wetland,Grassland
78,NULL,Wetland,Non_Water,Wetland,Cropland
79,NULL,Wetland,Non_Water,Wetland,Wetland
80,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
81,NULL,Wetland,Non_Water,Wetland,Bareland
82,NULL,Wetland,Non_Water,Wetland,Water
83,NULL,Wetland,Non_Water,Wetland,Forest
84,NULL,Wetland,Water,Wetland,NULL
85,NULL,Wetland,Water,Wetland,Grassland
86,NULL,Wetland,Water,Wetland,Wetland
87,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
88,NULL,Wetland,Water,Wetland,Bareland
89,NULL,Wetland,Water,Wetland,Water
90,NULL,Wetland,Water,Wetland,Forest
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
96,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
97,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
98,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
99,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
100,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
101,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
102,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
103,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
104,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
105,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
106,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
107,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
108,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
109,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
110,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
111,NULL,Bareland,NULL,Non_Wetland,NULL
112,NULL,Bareland,NULL,Non_Wetland,Grassland
113,NULL,Bareland,NULL,Non_Wetland,Cropland
114,NULL,Bareland,NULL,Non_Wetland,Wetland
115,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
116,NULL,Bareland,NULL,Non_Wetland,Bareland
117,NULL,Bareland,NULL,Non_Wetland,Built-up
118,NULL,Bareland,NULL,Non_Wetland,Water
119,NULL,Bareland,NULL,Non_Wetland,Forest
120,NULL,Bareland,Non_Water,Non_Wetland,Grassland
121,NULL,Bareland,Non_Water,Non_Wetland,Wetland
122,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
123,NULL,Bareland,Non_Water,Non_Wetland,Bareland
124,NULL,Bareland,Non_Water,Non_Wetland,Built-up
125,NULL,Bareland,Non_Water,Non_Wetland,Water
126,NULL,Bareland,Non_Water,Non_Wetland,Forest
127,NULL,Bareland,Water,Non_Wetland,Grassland
128,NULL,Bareland,Water,Non_Wetland,Wetland
129,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
130,NULL,Bareland,Water,Non_Wetland,Bareland
131,NULL,Bareland,Water,Non_Wetland,Built-up
132,NULL,Bareland,Water,Non_Wetland,Water
133,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
134,NULL,Bareland,Water,Non_Wetland,Forest
135,NULL,Built-up,NULL,Non_Wetland,Grassland
136,NULL,Built-up,NULL,Non_Wetland,Wetland
137,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
138,NULL,Built-up,NULL,Non_Wetland,Bareland
139,NULL,Built-up,NULL,Non_Wetland,Built-up
140,NULL,Built-up,NULL,Non_Wetland,Water
141,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
142,NULL,Built-up,NULL,Non_Wetland,Forest
143,NULL,Built-up,Non_Water,Non_Wetland,Grassland
144,NULL,Built-up,Non_Water,Non_Wetland,Wetland
145,NULL,Built-up,Non_Water,Non_Wetland,Bareland
146,NULL,Built-up,Non_Water,Non_Wetland,Built-up
147,NULL,Built-up,Non_Water,Non_Wetland,Water
148,NULL,Built-up,Non_Water,Non_Wetland,Forest
149,NULL,Built-up,Water,Non_Wetland,Grassland
150,NULL,Built-up,Water,Non_Wetland,Wetland
151,NULL,Built-up,Water,Non_Wetland,Bareland
152,NULL,Built-up,Water,Non_Wetland,Built-up
153,NULL,Built-up,Water,Non_Wetland,Water
154,NULL,Built-up,Water,Non_Wetland,Forest
155,NULL,Water,NULL,Water,NULL
156,NULL,Water,NULL,Water,Grassland
157,NULL,Water,NULL,Water,Wetland
158,NULL,Water,NULL,Water,Lichens_and_Mosses
159,NULL,Water,NULL,Water,Bareland
160,NULL,Water,NULL,Water,Water
161,NULL,Water,NULL,Water,Forest
162,NULL,Water,Non_Water,Water,Grassland
163,NULL,Water,Non_Water,Water,Wetland
164,NULL,Water,Non_Water,Water,Lichens_and_Mosses
165,NULL,Water,Non_Water,Water,Bareland
166,NULL,Water,Non_Water,Water,Water
167,NULL,Water,Non_Water,Water,Forest
168,NULL,Water,Water,Water,NULL
169,NULL,Water,Water,Water,Grassland
170,NULL,Water,Water,Water,Wetland
171,NULL,Water,Water,Water,Lichens_and_Mosses
172,NULL,Water,Water,Water,Bareland
173,NULL,Water,Water,Water,Built-up
174,NULL,Water,Water,Water,Water
175,NULL,Water,Water,Water,Forest
176,NULL,Forest,NULL,Non_Wetland,NULL
177,NULL,Forest,NULL,Non_Wetland,Grassland
178,NULL,Forest,NULL,Non_Wetland,Wetland
179,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
180,NULL,Forest,NULL,Non_Wetland,Bareland
181,NULL,Forest,NULL,Non_Wetland,Built-up
182,NULL,Forest,NULL,Non_Wetland,Water
183,NULL,Forest,NULL,Non_Wetland,Forest
184,NULL,Forest,Non_Water,Non_Wetland,NULL
185,NULL,Forest,Non_Water,Non_Wetland,Grassland
186,NULL,Forest,Non_Water,Non_Wetland,Wetland
187,NULL,Forest,Non_Water,Non_Wetland,Bareland
188,NULL,Forest,Non_Water,Non_Wetland,Built-up
189,NULL,Forest,Non_Water,Non_Wetland,Water
190,NULL,Forest,Non_Water,Non_Wetland,Forest
191,NULL,Forest,Water,Non_Wetland,NULL
192,NULL,Forest,Water,Non_Wetland,Grassland
193,NULL,Forest,Water,Non_Wetland,Wetland
194,NULL,Forest,Water,Non_Wetland,Bareland
195,NULL,Forest,Water,Non_Wetland,Water
196,NULL,Forest,Water,Non_Wetland,Forest
197,Cropland,NULL,NULL,Non_Wetland,Grassland
198,Cropland,Shrubland,NULL,Non_Wetland,Grassland
199,Cropland,Wetland,NULL,Wetland,Grassland
200,Cropland,Wetland,NULL,Wetland,Wetland
201,Cropland,Wetland,NULL,Wetland,Forest
202,Cropland,Wetland,Water,Wetland,Grassland
203,Cropland,Bareland,NULL,Non_Wetland,Grassland
204,Cropland,Bareland,NULL,Non_Wetland,Wetland
205,Cropland,Forest,NULL,Non_Wetland,Grassland
206,Cropland,Forest,NULL,Non_Wetland,Wetland
207,Cropland,Forest,NULL,Non_Wetland,Forest
208,Cropland,Forest,Non_Water,Non_Wetland,Forest
209,Wetland,NULL,NULL,Non_Wetland,NULL
210,Wetland,NULL,NULL,Non_Wetland,Grassland
211,Wetland,NULL,NULL,Non_Wetland,Wetland
212,Wetland,NULL,NULL,Non_Wetland,Water
213,Wetland,NULL,NULL,Non_Wetland,Forest
214,Wetland,NULL,Non_Water,Non_Wetland,Grassland
215,Wetland,NULL,Non_Water,Non_Wetland,Wetland
216,Wetland,NULL,Non_Water,Non_Wetland,Water
217,Wetland,NULL,Non_Water,Non_Wetland,Forest
218,Wetland,NULL,Water,Non_Wetland,Grassland
219,Wetland,NULL,Water,Non_Wetland,Wetland
220,Wetland,NULL,Water,Non_Wetland,Water
221,Wetland,NULL,Water,Non_Wetland,Forest
222,Wetland,Shrubland,NULL,Non_Wetland,Grassland
223,Wetland,Shrubland,NULL,Non_Wetland,Cropland
224,Wetland,Shrubland,NULL,Non_Wetland,Wetland
225,Wetland,Shrubland,NULL,Non_Wetland,Water
226,Wetland,Shrubland,NULL,Non_Wetland,Forest
227,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
228,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
229,Wetland,Shrubland,Non_Water,Non_Wetland,Water
230,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
231,Wetland,Shrubland,Water,Non_Wetland,Grassland
232,Wetland,Shrubland,Water,Non_Wetland,Wetland
233,Wetland,Shrubland,Water,Non_Wetland,Water
234,Wetland,Shrubland,Water,Non_Wetland,Forest
235,Wetland,Grassland,NULL,Non_Wetland,Grassland
236,Wetland,Grassland,NULL,Non_Wetland,Wetland
237,Wetland,Grassland,NULL,Non_Wetland,Water
238,Wetland,Grassland,NULL,Non_Wetland,Forest
239,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
240,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
241,Wetland,Grassland,Non_Water,Non_Wetland,Water
242,Wetland,Grassland,Water,Non_Wetland,Grassland
243,Wetland,Grassland,Water,Non_Wetland,Wetland
244,Wetland,Cropland,NULL,Non_Wetland,Grassland
245,Wetland,Cropland,NULL,Non_Wetland,Cropland
246,Wetland,Cropland,NULL,Non_Wetland,Wetland
247,Wetland,Cropland,NULL,Non_Wetland,Built-up
248,Wetland,Cropland,NULL,Non_Wetland,Water
249,Wetland,Cropland,NULL,Non_Wetland,Forest
250,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
251,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
252,Wetland,Cropland,Non_Water,Non_Wetland,Water
253,Wetland,Cropland,Non_Water,Non_Wetland,Forest
254,Wetland,Cropland,Water,Non_Wetland,Grassland
255,Wetland,Cropland,Water,Non_Wetland,Wetland
256,Wetland,Cropland,Water,Non_Wetland,Water
257,Wetland,Cropland,Water,Non_Wetland,Forest
258,Wetland,Wetland,NULL,Wetland,NULL
259,Wetland,Wetland,NULL,Wetland,Grassland
260,Wetland,Wetland,NULL,Wetland,Cropland
261,Wetland,Wetland,NULL,Wetland,Wetland
262,Wetland,Wetland,NULL,Wetland,Built-up
263,Wetland,Wetland,NULL,Wetland,Water
