Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVT_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVT_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVT_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVT_M_R,SIBERIA_2024_WorldCover_2021_42WVT_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
25,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Water
36,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,Cropland,NULL,Non_Wetland,Wetland
47,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,Cropland,Non_Water,Non_Wetland,Forest
49,NULL,Wetland,NULL,Wetland,NULL
50,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
53,NULL,Wetland,NULL,Wetland,Water
54,NULL,Wetland,NULL,Wetland,Forest
55,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
59,NULL,Wetland,Non_Water,Wetland,Water
60,NULL,Wetland,Non_Water,Wetland,Forest
61,NULL,Wetland,Water,Wetland,NULL
62,NULL,Wetland,Water,Wetland,Grassland
63,NULL,Wetland,Water,Wetland,Wetland
64,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
65,NULL,Wetland,Water,Wetland,Bareland
66,NULL,Wetland,Water,Wetland,Water
67,NULL,Wetland,Water,Wetland,Forest
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
74,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
82,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Bareland,NULL,Non_Wetland,Wetland
85,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,Bareland,Non_Water,Non_Wetland,NULL
90,NULL,Bareland,Non_Water,Non_Wetland,Grassland
91,NULL,Bareland,Non_Water,Non_Wetland,Wetland
92,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,Non_Water,Non_Wetland,Water
94,NULL,Bareland,Non_Water,Non_Wetland,Forest
95,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Water,Non_Wetland,Bareland
99,NULL,Bareland,Water,Non_Wetland,Water
100,NULL,Bareland,Water,Non_Wetland,Forest
101,NULL,Built-up,NULL,Non_Wetland,NULL
102,NULL,Built-up,NULL,Non_Wetland,Grassland
103,NULL,Built-up,NULL,Non_Wetland,Wetland
104,NULL,Built-up,NULL,Non_Wetland,Forest
105,NULL,Water,NULL,Water,NULL
106,NULL,Water,NULL,Water,Grassland
107,NULL,Water,NULL,Water,Wetland
108,NULL,Water,NULL,Water,Lichens_and_Mosses
109,NULL,Water,NULL,Water,Water
110,NULL,Water,NULL,Water,Forest
111,NULL,Water,Non_Water,Water,Grassland
112,NULL,Water,Non_Water,Water,Wetland
113,NULL,Water,Non_Water,Water,Water
114,NULL,Water,Non_Water,Water,Forest
115,NULL,Water,Water,Water,NULL
116,NULL,Water,Water,Water,Grassland
117,NULL,Water,Water,Water,Wetland
118,NULL,Water,Water,Water,Lichens_and_Mosses
119,NULL,Water,Water,Water,Water
120,NULL,Water,Water,Water,Forest
121,NULL,Forest,NULL,Non_Wetland,NULL
122,NULL,Forest,NULL,Non_Wetland,Grassland
123,NULL,Forest,NULL,Non_Wetland,Wetland
124,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
125,NULL,Forest,NULL,Non_Wetland,Water
126,NULL,Forest,NULL,Non_Wetland,Forest
127,NULL,Forest,Non_Water,Non_Wetland,NULL
128,NULL,Forest,Non_Water,Non_Wetland,Grassland
129,NULL,Forest,Non_Water,Non_Wetland,Wetland
130,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
131,NULL,Forest,Non_Water,Non_Wetland,Water
132,NULL,Forest,Non_Water,Non_Wetland,Forest
133,NULL,Forest,Water,Non_Wetland,NULL
134,NULL,Forest,Water,Non_Wetland,Grassland
135,NULL,Forest,Water,Non_Wetland,Wetland
136,NULL,Forest,Water,Non_Wetland,Water
137,NULL,Forest,Water,Non_Wetland,Forest
138,Cropland,NULL,NULL,Non_Wetland,Grassland
139,Cropland,NULL,NULL,Non_Wetland,Wetland
140,Cropland,NULL,NULL,Non_Wetland,Forest
141,Cropland,NULL,Non_Water,Non_Wetland,Grassland
142,Cropland,Shrubland,NULL,Non_Wetland,NULL
143,Cropland,Shrubland,NULL,Non_Wetland,Grassland
144,Cropland,Shrubland,NULL,Non_Wetland,Wetland
145,Cropland,Shrubland,NULL,Non_Wetland,Forest
146,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
147,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
148,Cropland,Grassland,NULL,Non_Wetland,Grassland
149,Cropland,Grassland,NULL,Non_Wetland,Wetland
150,Cropland,Grassland,NULL,Non_Wetland,Forest
151,Cropland,Grassland,Water,Non_Wetland,Wetland
152,Cropland,Cropland,NULL,Non_Wetland,Grassland
153,Cropland,Wetland,NULL,Wetland,NULL
154,Cropland,Wetland,NULL,Wetland,Grassland
155,Cropland,Wetland,NULL,Wetland,Wetland
156,Cropland,Wetland,NULL,Wetland,Forest
157,Cropland,Wetland,Non_Water,Wetland,Grassland
158,Cropland,Wetland,Non_Water,Wetland,Wetland
159,Cropland,Wetland,Water,Wetland,Grassland
160,Cropland,Wetland,Water,Wetland,Wetland
161,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
162,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
163,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
164,Cropland,Bareland,NULL,Non_Wetland,Grassland
165,Cropland,Bareland,NULL,Non_Wetland,Wetland
166,Cropland,Bareland,NULL,Non_Wetland,Bareland
167,Cropland,Bareland,NULL,Non_Wetland,Forest
168,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
169,Cropland,Bareland,Water,Non_Wetland,Wetland
170,Cropland,Water,NULL,Water,Grassland
171,Cropland,Forest,NULL,Non_Wetland,NULL
172,Cropland,Forest,NULL,Non_Wetland,Grassland
173,Cropland,Forest,NULL,Non_Wetland,Wetland
174,Cropland,Forest,NULL,Non_Wetland,Forest
175,Cropland,Forest,Non_Water,Non_Wetland,Grassland
176,Cropland,Forest,Non_Water,Non_Wetland,Wetland
177,Cropland,Forest,Water,Non_Wetland,Grassland
178,Wetland,NULL,NULL,Non_Wetland,NULL
179,Wetland,NULL,NULL,Non_Wetland,Grassland
180,Wetland,NULL,NULL,Non_Wetland,Wetland
181,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
182,Wetland,NULL,NULL,Non_Wetland,Water
183,Wetland,NULL,NULL,Non_Wetland,Forest
184,Wetland,NULL,Non_Water,Non_Wetland,Grassland
185,Wetland,NULL,Non_Water,Non_Wetland,Wetland
186,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
187,Wetland,NULL,Non_Water,Non_Wetland,Water
188,Wetland,NULL,Non_Water,Non_Wetland,Forest
189,Wetland,NULL,Water,Non_Wetland,Grassland
190,Wetland,NULL,Water,Non_Wetland,Wetland
191,Wetland,NULL,Water,Non_Wetland,Water
192,Wetland,NULL,Water,Non_Wetland,Forest
193,Wetland,Shrubland,NULL,Non_Wetland,NULL
194,Wetland,Shrubland,NULL,Non_Wetland,Grassland
195,Wetland,Shrubland,NULL,Non_Wetland,Wetland
196,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
197,Wetland,Shrubland,NULL,Non_Wetland,Water
198,Wetland,Shrubland,NULL,Non_Wetland,Forest
199,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
200,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
201,Wetland,Shrubland,Non_Water,Non_Wetland,Water
202,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
203,Wetland,Shrubland,Water,Non_Wetland,Grassland
204,Wetland,Shrubland,Water,Non_Wetland,Wetland
205,Wetland,Shrubland,Water,Non_Wetland,Bareland
206,Wetland,Shrubland,Water,Non_Wetland,Water
207,Wetland,Shrubland,Water,Non_Wetland,Forest
208,Wetland,Grassland,NULL,Non_Wetland,NULL
209,Wetland,Grassland,NULL,Non_Wetland,Grassland
210,Wetland,Grassland,NULL,Non_Wetland,Wetland
211,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
212,Wetland,Grassland,NULL,Non_Wetland,Water
213,Wetland,Grassland,NULL,Non_Wetland,Forest
214,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
215,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
216,Wetland,Grassland,Non_Water,Non_Wetland,Forest
217,Wetland,Grassland,Water,Non_Wetland,Grassland
218,Wetland,Grassland,Water,Non_Wetland,Wetland
219,Wetland,Grassland,Water,Non_Wetland,Bareland
220,Wetland,Grassland,Water,Non_Wetland,Water
221,Wetland,Grassland,Water,Non_Wetland,Forest
222,Wetland,Cropland,NULL,Non_Wetland,Grassland
223,Wetland,Cropland,NULL,Non_Wetland,Wetland
224,Wetland,Cropland,NULL,Non_Wetland,Forest
225,Wetland,Cropland,Non_Water,Non_Wetland,Water
226,Wetland,Cropland,Water,Non_Wetland,Water
227,Wetland,Cropland,Water,Non_Wetland,Forest
228,Wetland,Wetland,NULL,Wetland,NULL
229,Wetland,Wetland,NULL,Wetland,Grassland
230,Wetland,Wetland,NULL,Wetland,Wetland
231,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
232,Wetland,Wetland,NULL,Wetland,Bareland
233,Wetland,Wetland,NULL,Wetland,Water
234,Wetland,Wetland,NULL,Wetland,Forest
235,Wetland,Wetland,Non_Water,Wetland,NULL
236,Wetland,Wetland,Non_Water,Wetland,Grassland
237,Wetland,Wetland,Non_Water,Wetland,Wetland
238,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
239,Wetland,Wetland,Non_Water,Wetland,Water
240,Wetland,Wetland,Non_Water,Wetland,Forest
241,Wetland,Wetland,Water,Wetland,NULL
242,Wetland,Wetland,Water,Wetland,Grassland
243,Wetland,Wetland,Water,Wetland,Wetland
244,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
245,Wetland,Wetland,Water,Wetland,Bareland
246,Wetland,Wetland,Water,Wetland,Water
247,Wetland,Wetland,Water,Wetland,Forest
248,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
249,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
250,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
251,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
252,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
253,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
254,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
255,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
256,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
257,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
258,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
