Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VDK_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VDK_M_R,SIBERIA_2024_GSW_Yearly_2021_43VDK_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VDK_M_R,SIBERIA_2024_WorldCover_2021_43VDK_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
23,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
24,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Water,Non_Wetland,Water
29,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
34,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,Cropland,NULL,Non_Wetland,Wetland
41,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
42,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,Wetland,NULL,Wetland,NULL
46,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
49,NULL,Wetland,NULL,Wetland,Bareland
50,NULL,Wetland,NULL,Wetland,Built-up
51,NULL,Wetland,NULL,Wetland,Water
52,NULL,Wetland,NULL,Wetland,Forest
53,NULL,Wetland,Non_Water,Wetland,NULL
54,NULL,Wetland,Non_Water,Wetland,Grassland
55,NULL,Wetland,Non_Water,Wetland,Wetland
56,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
57,NULL,Wetland,Non_Water,Wetland,Bareland
58,NULL,Wetland,Non_Water,Wetland,Water
59,NULL,Wetland,Non_Water,Wetland,Forest
60,NULL,Wetland,Water,Wetland,NULL
61,NULL,Wetland,Water,Wetland,Grassland
62,NULL,Wetland,Water,Wetland,Wetland
63,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
64,NULL,Wetland,Water,Wetland,Bareland
65,NULL,Wetland,Water,Wetland,Built-up
66,NULL,Wetland,Water,Wetland,Water
67,NULL,Wetland,Water,Wetland,Forest
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
74,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
82,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
87,NULL,Bareland,NULL,Non_Wetland,Bareland
88,NULL,Bareland,NULL,Non_Wetland,Built-up
89,NULL,Bareland,NULL,Non_Wetland,Water
90,NULL,Bareland,NULL,Non_Wetland,Forest
91,NULL,Bareland,Non_Water,Non_Wetland,Grassland
92,NULL,Bareland,Non_Water,Non_Wetland,Wetland
93,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Bareland,Non_Water,Non_Wetland,Bareland
95,NULL,Bareland,Non_Water,Non_Wetland,Built-up
96,NULL,Bareland,Non_Water,Non_Wetland,Water
97,NULL,Bareland,Non_Water,Non_Wetland,Forest
98,NULL,Bareland,Water,Non_Wetland,Grassland
99,NULL,Bareland,Water,Non_Wetland,Wetland
100,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Bareland,Water,Non_Wetland,Bareland
102,NULL,Bareland,Water,Non_Wetland,Built-up
103,NULL,Bareland,Water,Non_Wetland,Water
104,NULL,Bareland,Water,Non_Wetland,Forest
105,NULL,Built-up,NULL,Non_Wetland,NULL
106,NULL,Built-up,NULL,Non_Wetland,Grassland
107,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
109,NULL,Built-up,NULL,Non_Wetland,Bareland
110,NULL,Built-up,NULL,Non_Wetland,Built-up
111,NULL,Built-up,NULL,Non_Wetland,Water
112,NULL,Built-up,NULL,Non_Wetland,Forest
113,NULL,Built-up,Non_Water,Non_Wetland,Grassland
114,NULL,Built-up,Non_Water,Non_Wetland,Wetland
115,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Built-up,Non_Water,Non_Wetland,Bareland
117,NULL,Built-up,Non_Water,Non_Wetland,Built-up
118,NULL,Built-up,Non_Water,Non_Wetland,Water
119,NULL,Built-up,Non_Water,Non_Wetland,Forest
120,NULL,Built-up,Water,Non_Wetland,Grassland
121,NULL,Built-up,Water,Non_Wetland,Wetland
122,NULL,Built-up,Water,Non_Wetland,Bareland
123,NULL,Built-up,Water,Non_Wetland,Built-up
124,NULL,Built-up,Water,Non_Wetland,Water
125,NULL,Water,NULL,Water,Grassland
126,NULL,Water,NULL,Water,Wetland
127,NULL,Water,NULL,Water,Lichens_and_Mosses
128,NULL,Water,NULL,Water,Bareland
129,NULL,Water,NULL,Water,Water
130,NULL,Water,NULL,Water,Forest
131,NULL,Water,Non_Water,Water,Grassland
132,NULL,Water,Non_Water,Water,Wetland
133,NULL,Water,Non_Water,Water,Lichens_and_Mosses
134,NULL,Water,Non_Water,Water,Bareland
135,NULL,Water,Non_Water,Water,Built-up
136,NULL,Water,Non_Water,Water,Water
137,NULL,Water,Non_Water,Water,Forest
138,NULL,Water,Water,Water,Grassland
139,NULL,Water,Water,Water,Wetland
140,NULL,Water,Water,Water,Lichens_and_Mosses
141,NULL,Water,Water,Water,Water
142,NULL,Water,Water,Water,Forest
143,NULL,Forest,NULL,Non_Wetland,NULL
144,NULL,Forest,NULL,Non_Wetland,Grassland
145,NULL,Forest,NULL,Non_Wetland,Cropland
146,NULL,Forest,NULL,Non_Wetland,Wetland
147,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Forest,NULL,Non_Wetland,Bareland
149,NULL,Forest,NULL,Non_Wetland,Built-up
150,NULL,Forest,NULL,Non_Wetland,Water
151,NULL,Forest,NULL,Non_Wetland,Forest
152,NULL,Forest,Non_Water,Non_Wetland,NULL
153,NULL,Forest,Non_Water,Non_Wetland,Grassland
154,NULL,Forest,Non_Water,Non_Wetland,Wetland
155,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
156,NULL,Forest,Non_Water,Non_Wetland,Forest
157,NULL,Forest,Water,Non_Wetland,Grassland
158,NULL,Forest,Water,Non_Wetland,Wetland
159,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
160,NULL,Forest,Water,Non_Wetland,Bareland
161,NULL,Forest,Water,Non_Wetland,Water
162,NULL,Forest,Water,Non_Wetland,Forest
163,Cropland,NULL,NULL,Non_Wetland,NULL
164,Cropland,NULL,NULL,Non_Wetland,Grassland
165,Cropland,NULL,NULL,Non_Wetland,Forest
166,Cropland,Shrubland,NULL,Non_Wetland,Grassland
167,Cropland,Shrubland,NULL,Non_Wetland,Wetland
168,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
169,Cropland,Shrubland,NULL,Non_Wetland,Forest
170,Cropland,Grassland,NULL,Non_Wetland,Grassland
171,Cropland,Grassland,NULL,Non_Wetland,Wetland
172,Cropland,Grassland,NULL,Non_Wetland,Forest
173,Cropland,Wetland,NULL,Wetland,NULL
174,Cropland,Wetland,NULL,Wetland,Grassland
175,Cropland,Wetland,NULL,Wetland,Wetland
176,Cropland,Wetland,NULL,Wetland,Built-up
177,Cropland,Wetland,NULL,Wetland,Water
178,Cropland,Wetland,NULL,Wetland,Forest
179,Cropland,Wetland,Non_Water,Wetland,Forest
180,Cropland,Wetland,Water,Wetland,Water
181,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
182,Cropland,Bareland,NULL,Non_Wetland,NULL
183,Cropland,Bareland,NULL,Non_Wetland,Grassland
184,Cropland,Bareland,NULL,Non_Wetland,Wetland
185,Cropland,Bareland,NULL,Non_Wetland,Bareland
186,Cropland,Bareland,NULL,Non_Wetland,Built-up
187,Cropland,Bareland,NULL,Non_Wetland,Water
188,Cropland,Bareland,NULL,Non_Wetland,Forest
189,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
190,Cropland,Bareland,Non_Water,Non_Wetland,Water
191,Cropland,Bareland,Water,Non_Wetland,Wetland
192,Cropland,Bareland,Water,Non_Wetland,Water
193,Cropland,Built-up,NULL,Non_Wetland,Grassland
194,Cropland,Built-up,NULL,Non_Wetland,Wetland
195,Cropland,Built-up,NULL,Non_Wetland,Forest
196,Cropland,Water,NULL,Water,Grassland
197,Cropland,Water,NULL,Water,Forest
198,Cropland,Water,Water,Water,Wetland
199,Cropland,Water,Water,Water,Forest
200,Cropland,Forest,NULL,Non_Wetland,NULL
201,Cropland,Forest,NULL,Non_Wetland,Grassland
202,Cropland,Forest,NULL,Non_Wetland,Wetland
203,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
204,Cropland,Forest,NULL,Non_Wetland,Forest
205,Wetland,NULL,NULL,Non_Wetland,NULL
206,Wetland,NULL,NULL,Non_Wetland,Grassland
207,Wetland,NULL,NULL,Non_Wetland,Wetland
208,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
209,Wetland,NULL,NULL,Non_Wetland,Bareland
210,Wetland,NULL,NULL,Non_Wetland,Built-up
211,Wetland,NULL,NULL,Non_Wetland,Water
212,Wetland,NULL,NULL,Non_Wetland,Forest
213,Wetland,NULL,Non_Water,Non_Wetland,NULL
214,Wetland,NULL,Non_Water,Non_Wetland,Grassland
215,Wetland,NULL,Non_Water,Non_Wetland,Wetland
216,Wetland,NULL,Non_Water,Non_Wetland,Built-up
217,Wetland,NULL,Non_Water,Non_Wetland,Water
218,Wetland,NULL,Non_Water,Non_Wetland,Forest
219,Wetland,NULL,Water,Non_Wetland,NULL
220,Wetland,NULL,Water,Non_Wetland,Grassland
221,Wetland,NULL,Water,Non_Wetland,Wetland
222,Wetland,NULL,Water,Non_Wetland,Bareland
223,Wetland,NULL,Water,Non_Wetland,Water
224,Wetland,NULL,Water,Non_Wetland,Forest
225,Wetland,Shrubland,NULL,Non_Wetland,NULL
226,Wetland,Shrubland,NULL,Non_Wetland,Grassland
227,Wetland,Shrubland,NULL,Non_Wetland,Wetland
228,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
229,Wetland,Shrubland,NULL,Non_Wetland,Bareland
230,Wetland,Shrubland,NULL,Non_Wetland,Built-up
231,Wetland,Shrubland,NULL,Non_Wetland,Water
232,Wetland,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
233,Wetland,Shrubland,NULL,Non_Wetland,Forest
234,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
235,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
236,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
237,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
238,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
239,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
240,Wetland,Shrubland,Non_Water,Non_Wetland,Water
241,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
242,Wetland,Shrubland,Water,Non_Wetland,Grassland
243,Wetland,Shrubland,Water,Non_Wetland,Wetland
244,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
245,Wetland,Shrubland,Water,Non_Wetland,Bareland
246,Wetland,Shrubland,Water,Non_Wetland,Built-up
247,Wetland,Shrubland,Water,Non_Wetland,Water
248,Wetland,Shrubland,Water,Non_Wetland,Permanent_ice_and_snow
249,Wetland,Shrubland,Water,Non_Wetland,Forest
250,Wetland,Grassland,NULL,Non_Wetland,NULL
251,Wetland,Grassland,NULL,Non_Wetland,Grassland
252,Wetland,Grassland,NULL,Non_Wetland,Wetland
253,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
254,Wetland,Grassland,NULL,Non_Wetland,Bareland
255,Wetland,Grassland,NULL,Non_Wetland,Built-up
256,Wetland,Grassland,NULL,Non_Wetland,Water
257,Wetland,Grassland,NULL,Non_Wetland,Forest
258,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
259,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
260,Wetland,Grassland,Non_Water,Non_Wetland,Water
