Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WER_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WER_M_R,SIBERIA_2024_GSW_Yearly_2021_43WER_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WER_M_R,SIBERIA_2024_WorldCover_2021_43WER_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Non_Water,Non_Wetland,Water
7,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
14,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,Shrubland,Non_Water,Non_Wetland,Water
22,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
31,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,Grassland,NULL,Non_Wetland,Water
34,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,Grassland,Non_Water,Non_Wetland,Wetland
37,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,Non_Water,Non_Wetland,Water
39,NULL,Grassland,Non_Water,Non_Wetland,Forest
40,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
43,NULL,Grassland,Water,Non_Wetland,Bareland
44,NULL,Grassland,Water,Non_Wetland,Water
45,NULL,Grassland,Water,Non_Wetland,Forest
46,NULL,Wetland,NULL,NULL,Grassland
47,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
50,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,Wetland,NULL,Wetland,Built-up
52,NULL,Wetland,NULL,Wetland,Water
53,NULL,Wetland,NULL,Wetland,Forest
54,NULL,Wetland,Non_Water,Wetland,Grassland
55,NULL,Wetland,Non_Water,Wetland,Wetland
56,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
57,NULL,Wetland,Non_Water,Wetland,Bareland
58,NULL,Wetland,Non_Water,Wetland,Water
59,NULL,Wetland,Non_Water,Wetland,Forest
60,NULL,Wetland,Water,Wetland,Grassland
61,NULL,Wetland,Water,Wetland,Wetland
62,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
63,NULL,Wetland,Water,Wetland,Bareland
64,NULL,Wetland,Water,Wetland,Water
65,NULL,Wetland,Water,Wetland,Forest
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
72,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
73,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
74,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
82,NULL,Bareland,NULL,Non_Wetland,Grassland
83,NULL,Bareland,NULL,Non_Wetland,Wetland
84,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
85,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,Bareland,NULL,Non_Wetland,Built-up
87,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,Bareland,Non_Water,Non_Wetland,Wetland
91,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Bareland,Non_Water,Non_Wetland,Bareland
93,NULL,Bareland,Non_Water,Non_Wetland,Built-up
94,NULL,Bareland,Non_Water,Non_Wetland,Water
95,NULL,Bareland,Non_Water,Non_Wetland,Forest
96,NULL,Bareland,Water,Non_Wetland,Grassland
97,NULL,Bareland,Water,Non_Wetland,Wetland
98,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Bareland,Water,Non_Wetland,Bareland
100,NULL,Bareland,Water,Non_Wetland,Built-up
101,NULL,Bareland,Water,Non_Wetland,Water
102,NULL,Bareland,Water,Non_Wetland,Forest
103,NULL,Built-up,NULL,Non_Wetland,Grassland
104,NULL,Built-up,NULL,Non_Wetland,Wetland
105,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
106,NULL,Built-up,NULL,Non_Wetland,Bareland
107,NULL,Built-up,NULL,Non_Wetland,Built-up
108,NULL,Built-up,NULL,Non_Wetland,Water
109,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,Built-up,Non_Water,Non_Wetland,Grassland
111,NULL,Built-up,Non_Water,Non_Wetland,Wetland
112,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,Non_Water,Non_Wetland,Built-up
114,NULL,Built-up,Water,Non_Wetland,Grassland
115,NULL,Built-up,Water,Non_Wetland,Wetland
116,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
117,NULL,Built-up,Water,Non_Wetland,Bareland
118,NULL,Water,NULL,NULL,Lichens_and_Mosses
119,NULL,Water,NULL,Water,Grassland
120,NULL,Water,NULL,Water,Wetland
121,NULL,Water,NULL,Water,Lichens_and_Mosses
122,NULL,Water,NULL,Water,Bareland
123,NULL,Water,NULL,Water,Water
124,NULL,Water,NULL,Water,Forest
125,NULL,Water,Non_Water,Water,Grassland
126,NULL,Water,Non_Water,Water,Wetland
127,NULL,Water,Non_Water,Water,Lichens_and_Mosses
128,NULL,Water,Non_Water,Water,Water
129,NULL,Water,Water,Water,Grassland
130,NULL,Water,Water,Water,Wetland
131,NULL,Water,Water,Water,Lichens_and_Mosses
132,NULL,Water,Water,Water,Bareland
133,NULL,Water,Water,Water,Water
134,NULL,Forest,NULL,Non_Wetland,Grassland
135,NULL,Forest,NULL,Non_Wetland,Wetland
136,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
137,NULL,Forest,NULL,Non_Wetland,Bareland
138,NULL,Forest,NULL,Non_Wetland,Water
139,NULL,Forest,NULL,Non_Wetland,Forest
140,NULL,Forest,Non_Water,Non_Wetland,Grassland
141,NULL,Forest,Non_Water,Non_Wetland,Wetland
142,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
143,NULL,Forest,Non_Water,Non_Wetland,Bareland
144,NULL,Forest,Non_Water,Non_Wetland,Water
145,NULL,Forest,Non_Water,Non_Wetland,Forest
146,NULL,Forest,Water,Non_Wetland,Grassland
147,NULL,Forest,Water,Non_Wetland,Wetland
148,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
149,NULL,Forest,Water,Non_Wetland,Bareland
150,NULL,Forest,Water,Non_Wetland,Water
151,NULL,Forest,Water,Non_Wetland,Forest
152,Cropland,Grassland,NULL,Non_Wetland,Grassland
153,Cropland,Grassland,NULL,Non_Wetland,Forest
154,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
155,Cropland,Wetland,Non_Water,Wetland,Wetland
156,Wetland,NULL,NULL,Non_Wetland,Grassland
157,Wetland,NULL,NULL,Non_Wetland,Wetland
158,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
159,Wetland,NULL,NULL,Non_Wetland,Bareland
160,Wetland,NULL,NULL,Non_Wetland,Water
161,Wetland,NULL,NULL,Non_Wetland,Forest
162,Wetland,NULL,Non_Water,Non_Wetland,Grassland
163,Wetland,NULL,Non_Water,Non_Wetland,Wetland
164,Wetland,NULL,Non_Water,Non_Wetland,Bareland
165,Wetland,NULL,Non_Water,Non_Wetland,Water
166,Wetland,NULL,Non_Water,Non_Wetland,Forest
167,Wetland,NULL,Water,Non_Wetland,Grassland
168,Wetland,NULL,Water,Non_Wetland,Wetland
169,Wetland,NULL,Water,Non_Wetland,Bareland
