Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFM_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFM_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFM_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFM_M_R,SIBERIA_2024_WorldCover_2021_43WFM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Water,Non_Wetland,Wetland
9,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
14,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
29,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,Grassland,Non_Water,Non_Wetland,Wetland
34,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,Grassland,Water,Non_Wetland,Wetland
38,NULL,Grassland,Water,Non_Wetland,Bareland
39,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,Wetland,NULL,Wetland,NULL
42,NULL,Wetland,NULL,Wetland,Grassland
43,NULL,Wetland,NULL,Wetland,Wetland
44,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
45,NULL,Wetland,NULL,Wetland,Bareland
46,NULL,Wetland,NULL,Wetland,Built-up
47,NULL,Wetland,NULL,Wetland,Water
48,NULL,Wetland,NULL,Wetland,Forest
49,NULL,Wetland,Non_Water,Wetland,Grassland
50,NULL,Wetland,Non_Water,Wetland,Wetland
51,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
52,NULL,Wetland,Non_Water,Wetland,Bareland
53,NULL,Wetland,Non_Water,Wetland,Water
54,NULL,Wetland,Non_Water,Wetland,Forest
55,NULL,Wetland,Water,Wetland,NULL
56,NULL,Wetland,Water,Wetland,Grassland
57,NULL,Wetland,Water,Wetland,Wetland
58,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
59,NULL,Wetland,Water,Wetland,Bareland
60,NULL,Wetland,Water,Wetland,Water
61,NULL,Wetland,Water,Wetland,Forest
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
67,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
68,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
69,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
70,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
71,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
72,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
73,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
74,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
75,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
78,NULL,Bareland,NULL,Non_Wetland,NULL
79,NULL,Bareland,NULL,Non_Wetland,Grassland
80,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,Bareland,NULL,Non_Wetland,Water
85,NULL,Bareland,NULL,Non_Wetland,Forest
86,NULL,Bareland,Non_Water,Non_Wetland,Grassland
87,NULL,Bareland,Non_Water,Non_Wetland,Wetland
88,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
89,NULL,Bareland,Non_Water,Non_Wetland,Bareland
90,NULL,Bareland,Non_Water,Non_Wetland,Water
91,NULL,Bareland,Non_Water,Non_Wetland,Forest
92,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,Bareland,Water,Non_Wetland,Wetland
94,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
95,NULL,Bareland,Water,Non_Wetland,Bareland
96,NULL,Bareland,Water,Non_Wetland,Built-up
97,NULL,Bareland,Water,Non_Wetland,Water
98,NULL,Bareland,Water,Non_Wetland,Forest
99,NULL,Built-up,NULL,Non_Wetland,Grassland
100,NULL,Built-up,NULL,Non_Wetland,Wetland
101,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,Built-up,NULL,Non_Wetland,Bareland
103,NULL,Built-up,NULL,Non_Wetland,Built-up
104,NULL,Built-up,NULL,Non_Wetland,Water
105,NULL,Built-up,NULL,Non_Wetland,Forest
106,NULL,Built-up,Non_Water,Non_Wetland,Grassland
107,NULL,Built-up,Non_Water,Non_Wetland,Wetland
108,NULL,Built-up,Non_Water,Non_Wetland,Bareland
109,NULL,Built-up,Non_Water,Non_Wetland,Built-up
110,NULL,Built-up,Non_Water,Non_Wetland,Forest
111,NULL,Built-up,Water,Non_Wetland,Grassland
112,NULL,Built-up,Water,Non_Wetland,Wetland
113,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
114,NULL,Built-up,Water,Non_Wetland,Bareland
115,NULL,Built-up,Water,Non_Wetland,Built-up
116,NULL,Built-up,Water,Non_Wetland,Water
117,NULL,Built-up,Water,Non_Wetland,Forest
118,NULL,Water,NULL,Water,Grassland
119,NULL,Water,NULL,Water,Wetland
120,NULL,Water,NULL,Water,Lichens_and_Mosses
121,NULL,Water,NULL,Water,Bareland
122,NULL,Water,NULL,Water,Water
123,NULL,Water,NULL,Water,Forest
124,NULL,Water,Non_Water,Water,Grassland
125,NULL,Water,Non_Water,Water,Wetland
126,NULL,Water,Non_Water,Water,Lichens_and_Mosses
127,NULL,Water,Non_Water,Water,Bareland
128,NULL,Water,Non_Water,Water,Water
129,NULL,Water,Non_Water,Water,Forest
130,NULL,Water,Water,Water,Grassland
131,NULL,Water,Water,Water,Wetland
132,NULL,Water,Water,Water,Lichens_and_Mosses
133,NULL,Water,Water,Water,Bareland
134,NULL,Water,Water,Water,Water
135,NULL,Water,Water,Water,Forest
136,NULL,Forest,NULL,Non_Wetland,NULL
137,NULL,Forest,NULL,Non_Wetland,Grassland
138,NULL,Forest,NULL,Non_Wetland,Wetland
139,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
140,NULL,Forest,NULL,Non_Wetland,Bareland
141,NULL,Forest,NULL,Non_Wetland,Built-up
142,NULL,Forest,NULL,Non_Wetland,Water
143,NULL,Forest,NULL,Non_Wetland,Forest
144,NULL,Forest,Non_Water,Non_Wetland,Grassland
145,NULL,Forest,Non_Water,Non_Wetland,Wetland
146,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
147,NULL,Forest,Non_Water,Non_Wetland,Water
148,NULL,Forest,Non_Water,Non_Wetland,Forest
149,NULL,Forest,Water,Non_Wetland,Grassland
150,NULL,Forest,Water,Non_Wetland,Wetland
151,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Forest,Water,Non_Wetland,Bareland
153,NULL,Forest,Water,Non_Wetland,Water
154,NULL,Forest,Water,Non_Wetland,Forest
155,Cropland,NULL,NULL,Non_Wetland,Wetland
156,Cropland,Shrubland,NULL,Non_Wetland,Grassland
157,Cropland,Shrubland,NULL,Non_Wetland,Wetland
158,Cropland,Shrubland,NULL,Non_Wetland,Forest
159,Cropland,Grassland,NULL,Non_Wetland,Grassland
160,Cropland,Grassland,NULL,Non_Wetland,Wetland
161,Cropland,Grassland,NULL,Non_Wetland,Forest
162,Cropland,Wetland,NULL,Wetland,NULL
163,Cropland,Wetland,NULL,Wetland,Grassland
164,Cropland,Wetland,NULL,Wetland,Wetland
165,Cropland,Wetland,NULL,Wetland,Forest
166,Cropland,Wetland,Non_Water,Wetland,Wetland
167,Cropland,Wetland,Water,Wetland,Wetland
168,Cropland,Bareland,NULL,Non_Wetland,Grassland
169,Cropland,Bareland,NULL,Non_Wetland,Wetland
170,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
171,Cropland,Bareland,NULL,Non_Wetland,Bareland
172,Cropland,Bareland,NULL,Non_Wetland,Built-up
173,Cropland,Bareland,NULL,Non_Wetland,Forest
174,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
175,Cropland,Bareland,Non_Water,Non_Wetland,Forest
176,Cropland,Built-up,NULL,Non_Wetland,Forest
177,Cropland,Water,NULL,Water,Wetland
178,Cropland,Water,Water,Water,Wetland
179,Cropland,Water,Water,Water,Forest
180,Cropland,Forest,NULL,Non_Wetland,NULL
181,Cropland,Forest,NULL,Non_Wetland,Grassland
182,Cropland,Forest,NULL,Non_Wetland,Wetland
183,Cropland,Forest,NULL,Non_Wetland,Forest
184,Wetland,NULL,NULL,Non_Wetland,NULL
185,Wetland,NULL,NULL,Non_Wetland,Grassland
186,Wetland,NULL,NULL,Non_Wetland,Wetland
187,Wetland,NULL,NULL,Non_Wetland,Water
188,Wetland,NULL,NULL,Non_Wetland,Forest
189,Wetland,NULL,Non_Water,Non_Wetland,Grassland
190,Wetland,NULL,Non_Water,Non_Wetland,Wetland
191,Wetland,NULL,Non_Water,Non_Wetland,Water
192,Wetland,NULL,Non_Water,Non_Wetland,Forest
193,Wetland,NULL,Water,Non_Wetland,Grassland
194,Wetland,NULL,Water,Non_Wetland,Wetland
195,Wetland,NULL,Water,Non_Wetland,Water
196,Wetland,NULL,Water,Non_Wetland,Forest
197,Wetland,Shrubland,NULL,Non_Wetland,NULL
198,Wetland,Shrubland,NULL,Non_Wetland,Grassland
199,Wetland,Shrubland,NULL,Non_Wetland,Wetland
200,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
201,Wetland,Shrubland,NULL,Non_Wetland,Bareland
202,Wetland,Shrubland,NULL,Non_Wetland,Built-up
203,Wetland,Shrubland,NULL,Non_Wetland,Water
204,Wetland,Shrubland,NULL,Non_Wetland,Forest
205,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
206,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
207,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
208,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
209,Wetland,Shrubland,Non_Water,Non_Wetland,Water
210,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
211,Wetland,Shrubland,Water,Non_Wetland,Grassland
212,Wetland,Shrubland,Water,Non_Wetland,Wetland
213,Wetland,Shrubland,Water,Non_Wetland,Water
214,Wetland,Shrubland,Water,Non_Wetland,Forest
215,Wetland,Grassland,NULL,Non_Wetland,NULL
216,Wetland,Grassland,NULL,Non_Wetland,Grassland
217,Wetland,Grassland,NULL,Non_Wetland,Wetland
218,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
219,Wetland,Grassland,NULL,Non_Wetland,Bareland
220,Wetland,Grassland,NULL,Non_Wetland,Built-up
221,Wetland,Grassland,NULL,Non_Wetland,Water
222,Wetland,Grassland,NULL,Non_Wetland,Forest
223,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
224,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
225,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
226,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
227,Wetland,Grassland,Non_Water,Non_Wetland,Forest
228,Wetland,Grassland,Water,Non_Wetland,Grassland
229,Wetland,Grassland,Water,Non_Wetland,Wetland
230,Wetland,Grassland,Water,Non_Wetland,Water
231,Wetland,Grassland,Water,Non_Wetland,Forest
232,Wetland,Cropland,NULL,Non_Wetland,Wetland
233,Wetland,Cropland,NULL,Non_Wetland,Forest
234,Wetland,Wetland,NULL,Wetland,NULL
235,Wetland,Wetland,NULL,Wetland,Grassland
236,Wetland,Wetland,NULL,Wetland,Wetland
237,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
238,Wetland,Wetland,NULL,Wetland,Bareland
239,Wetland,Wetland,NULL,Wetland,Built-up
240,Wetland,Wetland,NULL,Wetland,Water
241,Wetland,Wetland,NULL,Wetland,Forest
242,Wetland,Wetland,Non_Water,Wetland,NULL
243,Wetland,Wetland,Non_Water,Wetland,Grassland
244,Wetland,Wetland,Non_Water,Wetland,Wetland
245,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
246,Wetland,Wetland,Non_Water,Wetland,Bareland
247,Wetland,Wetland,Non_Water,Wetland,Water
248,Wetland,Wetland,Non_Water,Wetland,Forest
249,Wetland,Wetland,Water,Wetland,Grassland
250,Wetland,Wetland,Water,Wetland,Wetland
251,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
252,Wetland,Wetland,Water,Wetland,Bareland
253,Wetland,Wetland,Water,Wetland,Built-up
254,Wetland,Wetland,Water,Wetland,Water
255,Wetland,Wetland,Water,Wetland,Forest
256,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
257,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
258,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
259,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
260,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
261,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
