Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWG_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWG_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWG_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWG_M_R,SIBERIA_2024_WorldCover_2021_45VWG_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
31,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,Grassland,Water,Non_Wetland,Forest
38,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,Cropland,NULL,Non_Wetland,Wetland
41,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
42,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,Cropland,NULL,Non_Wetland,Water
44,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
47,NULL,Cropland,Non_Water,Non_Wetland,Forest
48,NULL,Cropland,Water,Non_Wetland,Grassland
49,NULL,Cropland,Water,Non_Wetland,Bareland
50,NULL,Cropland,Water,Non_Wetland,Water
51,NULL,Cropland,Water,Non_Wetland,Forest
52,NULL,Wetland,NULL,Wetland,NULL
53,NULL,Wetland,NULL,Wetland,Grassland
54,NULL,Wetland,NULL,Wetland,Wetland
55,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
56,NULL,Wetland,NULL,Wetland,Water
57,NULL,Wetland,NULL,Wetland,Forest
58,NULL,Wetland,Non_Water,Wetland,NULL
59,NULL,Wetland,Non_Water,Wetland,Grassland
60,NULL,Wetland,Non_Water,Wetland,Wetland
61,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
62,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,Wetland,Water,Wetland,Grassland
64,NULL,Wetland,Water,Wetland,Wetland
65,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Water,Wetland,Water
67,NULL,Wetland,Water,Wetland,Forest
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
74,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
75,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
77,NULL,Bareland,NULL,Non_Wetland,NULL
78,NULL,Bareland,NULL,Non_Wetland,Grassland
79,NULL,Bareland,NULL,Non_Wetland,Cropland
80,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,Bareland,NULL,Non_Wetland,Water
85,NULL,Bareland,NULL,Non_Wetland,Forest
86,NULL,Bareland,Non_Water,Non_Wetland,Grassland
87,NULL,Bareland,Non_Water,Non_Wetland,Wetland
88,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
89,NULL,Bareland,Non_Water,Non_Wetland,Bareland
90,NULL,Bareland,Non_Water,Non_Wetland,Forest
91,NULL,Bareland,Water,Non_Wetland,Grassland
92,NULL,Bareland,Water,Non_Wetland,Wetland
93,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Bareland,Water,Non_Wetland,Water
95,NULL,Bareland,Water,Non_Wetland,Forest
96,NULL,Built-up,NULL,Non_Wetland,NULL
97,NULL,Built-up,NULL,Non_Wetland,Grassland
98,NULL,Built-up,NULL,Non_Wetland,Wetland
99,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
100,NULL,Built-up,NULL,Non_Wetland,Bareland
101,NULL,Built-up,NULL,Non_Wetland,Built-up
102,NULL,Built-up,NULL,Non_Wetland,Water
103,NULL,Built-up,NULL,Non_Wetland,Forest
104,NULL,Built-up,Non_Water,Non_Wetland,Grassland
105,NULL,Built-up,Non_Water,Non_Wetland,Wetland
106,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
107,NULL,Built-up,Non_Water,Non_Wetland,Forest
108,NULL,Built-up,Water,Non_Wetland,Grassland
109,NULL,Built-up,Water,Non_Wetland,Wetland
110,NULL,Built-up,Water,Non_Wetland,Water
111,NULL,Built-up,Water,Non_Wetland,Forest
112,NULL,Water,NULL,Water,NULL
113,NULL,Water,NULL,Water,Grassland
114,NULL,Water,NULL,Water,Wetland
115,NULL,Water,NULL,Water,Water
116,NULL,Water,NULL,Water,Forest
117,NULL,Water,Non_Water,Water,Grassland
118,NULL,Water,Non_Water,Water,Wetland
119,NULL,Water,Non_Water,Water,Lichens_and_Mosses
120,NULL,Water,Non_Water,Water,Forest
121,NULL,Water,Water,Water,NULL
122,NULL,Water,Water,Water,Grassland
123,NULL,Water,Water,Water,Wetland
124,NULL,Water,Water,Water,Lichens_and_Mosses
125,NULL,Water,Water,Water,Bareland
126,NULL,Water,Water,Water,Water
127,NULL,Water,Water,Water,Forest
128,NULL,Forest,NULL,Non_Wetland,NULL
129,NULL,Forest,NULL,Non_Wetland,Grassland
130,NULL,Forest,NULL,Non_Wetland,Wetland
131,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
132,NULL,Forest,NULL,Non_Wetland,Bareland
133,NULL,Forest,NULL,Non_Wetland,Water
134,NULL,Forest,NULL,Non_Wetland,Forest
135,NULL,Forest,Non_Water,Non_Wetland,NULL
136,NULL,Forest,Non_Water,Non_Wetland,Grassland
137,NULL,Forest,Non_Water,Non_Wetland,Wetland
138,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
139,NULL,Forest,Non_Water,Non_Wetland,Forest
140,NULL,Forest,Water,Non_Wetland,NULL
141,NULL,Forest,Water,Non_Wetland,Grassland
142,NULL,Forest,Water,Non_Wetland,Wetland
143,NULL,Forest,Water,Non_Wetland,Water
144,NULL,Forest,Water,Non_Wetland,Forest
145,Cropland,NULL,NULL,Non_Wetland,Grassland
146,Cropland,NULL,NULL,Non_Wetland,Forest
147,Cropland,Shrubland,NULL,Non_Wetland,NULL
148,Cropland,Shrubland,NULL,Non_Wetland,Grassland
149,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
150,Cropland,Shrubland,NULL,Non_Wetland,Forest
151,Cropland,Grassland,NULL,Non_Wetland,Forest
152,Cropland,Cropland,NULL,Non_Wetland,Grassland
153,Cropland,Cropland,NULL,Non_Wetland,Bareland
154,Cropland,Cropland,NULL,Non_Wetland,Forest
155,Cropland,Wetland,NULL,Wetland,NULL
156,Cropland,Wetland,NULL,Wetland,Grassland
157,Cropland,Wetland,NULL,Wetland,Wetland
158,Cropland,Wetland,NULL,Wetland,Forest
159,Cropland,Wetland,Non_Water,Wetland,Forest
160,Cropland,Bareland,NULL,Non_Wetland,NULL
161,Cropland,Bareland,NULL,Non_Wetland,Grassland
162,Cropland,Bareland,NULL,Non_Wetland,Wetland
163,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
164,Cropland,Bareland,NULL,Non_Wetland,Bareland
165,Cropland,Bareland,NULL,Non_Wetland,Forest
166,Cropland,Bareland,Non_Water,Non_Wetland,Forest
167,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
168,Cropland,Built-up,NULL,Non_Wetland,Forest
169,Cropland,Forest,NULL,Non_Wetland,NULL
170,Cropland,Forest,NULL,Non_Wetland,Grassland
171,Cropland,Forest,NULL,Non_Wetland,Wetland
172,Cropland,Forest,NULL,Non_Wetland,Forest
173,Wetland,NULL,NULL,Non_Wetland,NULL
174,Wetland,NULL,NULL,Non_Wetland,Grassland
175,Wetland,NULL,NULL,Non_Wetland,Wetland
176,Wetland,NULL,NULL,Non_Wetland,Bareland
177,Wetland,NULL,NULL,Non_Wetland,Water
178,Wetland,NULL,NULL,Non_Wetland,Forest
179,Wetland,NULL,Non_Water,Non_Wetland,Wetland
180,Wetland,NULL,Non_Water,Non_Wetland,Water
181,Wetland,NULL,Non_Water,Non_Wetland,Forest
182,Wetland,NULL,Water,Non_Wetland,Grassland
183,Wetland,NULL,Water,Non_Wetland,Wetland
184,Wetland,NULL,Water,Non_Wetland,Water
185,Wetland,NULL,Water,Non_Wetland,Forest
186,Wetland,Shrubland,NULL,Non_Wetland,NULL
187,Wetland,Shrubland,NULL,Non_Wetland,Grassland
188,Wetland,Shrubland,NULL,Non_Wetland,Wetland
189,Wetland,Shrubland,NULL,Non_Wetland,Bareland
190,Wetland,Shrubland,NULL,Non_Wetland,Built-up
191,Wetland,Shrubland,NULL,Non_Wetland,Water
192,Wetland,Shrubland,NULL,Non_Wetland,Forest
193,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
194,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
195,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
196,Wetland,Shrubland,Water,Non_Wetland,Grassland
197,Wetland,Shrubland,Water,Non_Wetland,Wetland
198,Wetland,Shrubland,Water,Non_Wetland,Water
199,Wetland,Shrubland,Water,Non_Wetland,Forest
200,Wetland,Grassland,NULL,Non_Wetland,Grassland
201,Wetland,Grassland,NULL,Non_Wetland,Wetland
202,Wetland,Grassland,NULL,Non_Wetland,Forest
203,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
204,Wetland,Grassland,Non_Water,Non_Wetland,Water
205,Wetland,Grassland,Water,Non_Wetland,Grassland
206,Wetland,Grassland,Water,Non_Wetland,Forest
207,Wetland,Cropland,NULL,Non_Wetland,Grassland
208,Wetland,Cropland,NULL,Non_Wetland,Wetland
209,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
210,Wetland,Cropland,NULL,Non_Wetland,Bareland
211,Wetland,Cropland,NULL,Non_Wetland,Water
212,Wetland,Cropland,NULL,Non_Wetland,Forest
213,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
214,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
215,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
216,Wetland,Cropland,Non_Water,Non_Wetland,Forest
217,Wetland,Cropland,Water,Non_Wetland,Water
218,Wetland,Wetland,NULL,Wetland,NULL
219,Wetland,Wetland,NULL,Wetland,Grassland
220,Wetland,Wetland,NULL,Wetland,Wetland
221,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
222,Wetland,Wetland,NULL,Wetland,Water
223,Wetland,Wetland,NULL,Wetland,Forest
224,Wetland,Wetland,Non_Water,Wetland,NULL
225,Wetland,Wetland,Non_Water,Wetland,Grassland
226,Wetland,Wetland,Non_Water,Wetland,Wetland
227,Wetland,Wetland,Non_Water,Wetland,Bareland
228,Wetland,Wetland,Non_Water,Wetland,Water
229,Wetland,Wetland,Non_Water,Wetland,Forest
230,Wetland,Wetland,Water,Wetland,NULL
231,Wetland,Wetland,Water,Wetland,Grassland
232,Wetland,Wetland,Water,Wetland,Wetland
233,Wetland,Wetland,Water,Wetland,Bareland
234,Wetland,Wetland,Water,Wetland,Built-up
235,Wetland,Wetland,Water,Wetland,Water
236,Wetland,Wetland,Water,Wetland,Forest
237,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
238,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
239,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
240,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
241,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
242,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
243,Wetland,Bareland,NULL,Non_Wetland,NULL
244,Wetland,Bareland,NULL,Non_Wetland,Grassland
245,Wetland,Bareland,NULL,Non_Wetland,Wetland
246,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
247,Wetland,Bareland,NULL,Non_Wetland,Bareland
248,Wetland,Bareland,NULL,Non_Wetland,Built-up
249,Wetland,Bareland,NULL,Non_Wetland,Water
250,Wetland,Bareland,NULL,Non_Wetland,Forest
251,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
252,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
253,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
254,Wetland,Bareland,Non_Water,Non_Wetland,Water
255,Wetland,Bareland,Non_Water,Non_Wetland,Forest
256,Wetland,Bareland,Water,Non_Wetland,Grassland
257,Wetland,Bareland,Water,Non_Wetland,Wetland
258,Wetland,Bareland,Water,Non_Wetland,Bareland
259,Wetland,Bareland,Water,Non_Wetland,Water
260,Wetland,Bareland,Water,Non_Wetland,Forest
