Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWN_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWN_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWN_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWN_M_R,SIBERIA_2024_WorldCover_2021_45WWN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Water,Non_Wetland,Bareland
16,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,Shrubland,NULL,Non_Wetland,Water
25,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
27,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Non_Water,Non_Wetland,Water
30,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,Shrubland,Water,Non_Wetland,Grassland
32,NULL,Shrubland,Water,Non_Wetland,Wetland
33,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
34,NULL,Shrubland,Water,Non_Wetland,Bareland
35,NULL,Shrubland,Water,Non_Wetland,Water
36,NULL,Shrubland,Water,Non_Wetland,Forest
37,NULL,Grassland,NULL,Non_Wetland,NULL
38,NULL,Grassland,NULL,Non_Wetland,Grassland
39,NULL,Grassland,NULL,Non_Wetland,Wetland
40,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
41,NULL,Grassland,NULL,Non_Wetland,Bareland
42,NULL,Grassland,NULL,Non_Wetland,Built-up
43,NULL,Grassland,NULL,Non_Wetland,Forest
44,NULL,Grassland,Non_Water,Non_Wetland,Grassland
45,NULL,Grassland,Non_Water,Non_Wetland,Wetland
46,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
47,NULL,Grassland,Non_Water,Non_Wetland,Forest
48,NULL,Grassland,Water,Non_Wetland,Grassland
49,NULL,Grassland,Water,Non_Wetland,Wetland
50,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
51,NULL,Grassland,Water,Non_Wetland,Bareland
52,NULL,Grassland,Water,Non_Wetland,Water
53,NULL,Grassland,Water,Non_Wetland,Forest
54,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
55,NULL,Cropland,NULL,Non_Wetland,Forest
56,NULL,Wetland,NULL,Wetland,NULL
57,NULL,Wetland,NULL,Wetland,Grassland
58,NULL,Wetland,NULL,Wetland,Wetland
59,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
60,NULL,Wetland,NULL,Wetland,Bareland
61,NULL,Wetland,NULL,Wetland,Water
62,NULL,Wetland,NULL,Wetland,Forest
63,NULL,Wetland,Non_Water,Wetland,Grassland
64,NULL,Wetland,Non_Water,Wetland,Wetland
65,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,Wetland,Water,Wetland,Grassland
68,NULL,Wetland,Water,Wetland,Wetland
69,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
70,NULL,Wetland,Water,Wetland,Bareland
71,NULL,Wetland,Water,Wetland,Water
72,NULL,Wetland,Water,Wetland,Forest
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
82,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Bareland,NULL,Non_Wetland,Wetland
85,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,Bareland,NULL,Non_Wetland,Built-up
88,NULL,Bareland,NULL,Non_Wetland,Water
89,NULL,Bareland,NULL,Non_Wetland,Forest
90,NULL,Bareland,Non_Water,Non_Wetland,Grassland
91,NULL,Bareland,Non_Water,Non_Wetland,Wetland
92,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,Non_Water,Non_Wetland,Bareland
94,NULL,Bareland,Non_Water,Non_Wetland,Water
95,NULL,Bareland,Non_Water,Non_Wetland,Forest
96,NULL,Bareland,Water,Non_Wetland,Grassland
97,NULL,Bareland,Water,Non_Wetland,Wetland
98,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Bareland,Water,Non_Wetland,Bareland
100,NULL,Bareland,Water,Non_Wetland,Water
101,NULL,Bareland,Water,Non_Wetland,Forest
102,NULL,Built-up,NULL,Non_Wetland,Grassland
103,NULL,Built-up,NULL,Non_Wetland,Wetland
104,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,Built-up,NULL,Non_Wetland,Bareland
106,NULL,Built-up,NULL,Non_Wetland,Built-up
107,NULL,Built-up,NULL,Non_Wetland,Water
108,NULL,Built-up,NULL,Non_Wetland,Forest
109,NULL,Built-up,Non_Water,Non_Wetland,Grassland
110,NULL,Built-up,Non_Water,Non_Wetland,Wetland
111,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
112,NULL,Built-up,Non_Water,Non_Wetland,Bareland
113,NULL,Built-up,Non_Water,Non_Wetland,Water
114,NULL,Built-up,Non_Water,Non_Wetland,Forest
115,NULL,Built-up,Water,Non_Wetland,Grassland
116,NULL,Built-up,Water,Non_Wetland,Wetland
117,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Built-up,Water,Non_Wetland,Bareland
119,NULL,Built-up,Water,Non_Wetland,Water
120,NULL,Built-up,Water,Non_Wetland,Forest
121,NULL,Water,NULL,Water,Grassland
122,NULL,Water,NULL,Water,Wetland
123,NULL,Water,NULL,Water,Lichens_and_Mosses
124,NULL,Water,NULL,Water,Water
125,NULL,Water,NULL,Water,Forest
126,NULL,Water,Non_Water,Water,Wetland
127,NULL,Water,Non_Water,Water,Lichens_and_Mosses
128,NULL,Water,Non_Water,Water,Water
129,NULL,Water,Water,Water,Grassland
130,NULL,Water,Water,Water,Wetland
131,NULL,Water,Water,Water,Lichens_and_Mosses
132,NULL,Water,Water,Water,Bareland
133,NULL,Water,Water,Water,Water
134,NULL,Water,Water,Water,Forest
135,NULL,Forest,NULL,Non_Wetland,NULL
136,NULL,Forest,NULL,Non_Wetland,Grassland
137,NULL,Forest,NULL,Non_Wetland,Wetland
138,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
139,NULL,Forest,NULL,Non_Wetland,Bareland
140,NULL,Forest,NULL,Non_Wetland,Water
141,NULL,Forest,NULL,Non_Wetland,Forest
142,NULL,Forest,Non_Water,Non_Wetland,Grassland
143,NULL,Forest,Non_Water,Non_Wetland,Wetland
144,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
145,NULL,Forest,Non_Water,Non_Wetland,Bareland
146,NULL,Forest,Non_Water,Non_Wetland,Water
147,NULL,Forest,Non_Water,Non_Wetland,Forest
148,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
151,NULL,Forest,Water,Non_Wetland,Bareland
152,NULL,Forest,Water,Non_Wetland,Water
153,NULL,Forest,Water,Non_Wetland,Forest
154,Cropland,NULL,NULL,Non_Wetland,Grassland
155,Cropland,NULL,NULL,Non_Wetland,Wetland
156,Cropland,NULL,NULL,Non_Wetland,Forest
157,Cropland,Shrubland,NULL,Non_Wetland,Grassland
158,Cropland,Shrubland,NULL,Non_Wetland,Wetland
159,Cropland,Shrubland,NULL,Non_Wetland,Bareland
160,Cropland,Shrubland,NULL,Non_Wetland,Built-up
161,Cropland,Shrubland,NULL,Non_Wetland,Forest
162,Cropland,Grassland,NULL,Non_Wetland,Grassland
163,Cropland,Grassland,NULL,Non_Wetland,Wetland
164,Cropland,Grassland,NULL,Non_Wetland,Bareland
165,Cropland,Grassland,NULL,Non_Wetland,Built-up
166,Cropland,Grassland,NULL,Non_Wetland,Forest
167,Cropland,Wetland,NULL,Wetland,NULL
168,Cropland,Wetland,NULL,Wetland,Grassland
169,Cropland,Wetland,NULL,Wetland,Wetland
170,Cropland,Wetland,NULL,Wetland,Forest
171,Cropland,Wetland,Non_Water,Wetland,Grassland
172,Cropland,Wetland,Non_Water,Wetland,Wetland
173,Cropland,Wetland,Non_Water,Wetland,Forest
174,Cropland,Wetland,Water,Wetland,Wetland
175,Cropland,Bareland,NULL,Non_Wetland,Grassland
176,Cropland,Bareland,NULL,Non_Wetland,Wetland
177,Cropland,Bareland,NULL,Non_Wetland,Bareland
178,Cropland,Bareland,NULL,Non_Wetland,Built-up
179,Cropland,Bareland,NULL,Non_Wetland,Forest
180,Cropland,Built-up,NULL,Non_Wetland,Grassland
181,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
182,Cropland,Built-up,NULL,Non_Wetland,Bareland
183,Cropland,Built-up,NULL,Non_Wetland,Built-up
184,Cropland,Built-up,NULL,Non_Wetland,Forest
185,Cropland,Forest,NULL,Non_Wetland,Grassland
186,Cropland,Forest,NULL,Non_Wetland,Wetland
187,Cropland,Forest,NULL,Non_Wetland,Bareland
188,Cropland,Forest,NULL,Non_Wetland,Built-up
189,Cropland,Forest,NULL,Non_Wetland,Forest
190,Cropland,Forest,Non_Water,Non_Wetland,Wetland
191,Cropland,Forest,Non_Water,Non_Wetland,Forest
192,Wetland,NULL,NULL,Non_Wetland,Grassland
193,Wetland,NULL,NULL,Non_Wetland,Wetland
194,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
195,Wetland,NULL,NULL,Non_Wetland,Water
196,Wetland,NULL,NULL,Non_Wetland,Forest
197,Wetland,NULL,Non_Water,Non_Wetland,Grassland
198,Wetland,NULL,Non_Water,Non_Wetland,Wetland
199,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
200,Wetland,NULL,Non_Water,Non_Wetland,Water
201,Wetland,NULL,Non_Water,Non_Wetland,Forest
202,Wetland,NULL,Water,Non_Wetland,Grassland
203,Wetland,NULL,Water,Non_Wetland,Wetland
204,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
205,Wetland,NULL,Water,Non_Wetland,Water
206,Wetland,NULL,Water,Non_Wetland,Forest
207,Wetland,Shrubland,NULL,Non_Wetland,NULL
208,Wetland,Shrubland,NULL,Non_Wetland,Grassland
209,Wetland,Shrubland,NULL,Non_Wetland,Wetland
210,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
211,Wetland,Shrubland,NULL,Non_Wetland,Water
212,Wetland,Shrubland,NULL,Non_Wetland,Forest
213,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
214,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
215,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
216,Wetland,Shrubland,Non_Water,Non_Wetland,Water
217,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
218,Wetland,Shrubland,Water,Non_Wetland,Grassland
219,Wetland,Shrubland,Water,Non_Wetland,Wetland
220,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
221,Wetland,Shrubland,Water,Non_Wetland,Water
222,Wetland,Shrubland,Water,Non_Wetland,Forest
223,Wetland,Grassland,NULL,Non_Wetland,NULL
224,Wetland,Grassland,NULL,Non_Wetland,Grassland
225,Wetland,Grassland,NULL,Non_Wetland,Wetland
226,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
227,Wetland,Grassland,NULL,Non_Wetland,Water
228,Wetland,Grassland,NULL,Non_Wetland,Forest
229,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
230,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
231,Wetland,Grassland,Non_Water,Non_Wetland,Forest
232,Wetland,Grassland,Water,Non_Wetland,Grassland
233,Wetland,Grassland,Water,Non_Wetland,Wetland
234,Wetland,Grassland,Water,Non_Wetland,Water
235,Wetland,Grassland,Water,Non_Wetland,Forest
236,Wetland,Wetland,NULL,Wetland,NULL
237,Wetland,Wetland,NULL,Wetland,Grassland
238,Wetland,Wetland,NULL,Wetland,Wetland
239,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
240,Wetland,Wetland,NULL,Wetland,Bareland
241,Wetland,Wetland,NULL,Wetland,Water
242,Wetland,Wetland,NULL,Wetland,Forest
243,Wetland,Wetland,Non_Water,Wetland,Grassland
244,Wetland,Wetland,Non_Water,Wetland,Wetland
245,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
246,Wetland,Wetland,Non_Water,Wetland,Water
247,Wetland,Wetland,Non_Water,Wetland,Forest
248,Wetland,Wetland,Water,Wetland,Grassland
249,Wetland,Wetland,Water,Wetland,Wetland
250,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
251,Wetland,Wetland,Water,Wetland,Water
252,Wetland,Wetland,Water,Wetland,Forest
253,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
254,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
255,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
256,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
257,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
258,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
