Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWP_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWP_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWP_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWP_M_R,SIBERIA_2024_WorldCover_2021_45WWP_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Water,Non_Wetland,Bareland
16,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,Shrubland,NULL,Non_Wetland,Water
25,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
27,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
30,NULL,Shrubland,Non_Water,Non_Wetland,Water
31,NULL,Shrubland,Non_Water,Non_Wetland,Forest
32,NULL,Shrubland,Water,Non_Wetland,Grassland
33,NULL,Shrubland,Water,Non_Wetland,Wetland
34,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
35,NULL,Shrubland,Water,Non_Wetland,Bareland
36,NULL,Shrubland,Water,Non_Wetland,Water
37,NULL,Shrubland,Water,Non_Wetland,Forest
38,NULL,Grassland,NULL,Non_Wetland,NULL
39,NULL,Grassland,NULL,Non_Wetland,Grassland
40,NULL,Grassland,NULL,Non_Wetland,Wetland
41,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
42,NULL,Grassland,NULL,Non_Wetland,Bareland
43,NULL,Grassland,NULL,Non_Wetland,Built-up
44,NULL,Grassland,NULL,Non_Wetland,Forest
45,NULL,Grassland,Non_Water,Non_Wetland,Grassland
46,NULL,Grassland,Non_Water,Non_Wetland,Wetland
47,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
48,NULL,Grassland,Non_Water,Non_Wetland,Bareland
49,NULL,Grassland,Non_Water,Non_Wetland,Forest
50,NULL,Grassland,Water,Non_Wetland,Grassland
51,NULL,Grassland,Water,Non_Wetland,Wetland
52,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
53,NULL,Grassland,Water,Non_Wetland,Bareland
54,NULL,Grassland,Water,Non_Wetland,Water
55,NULL,Grassland,Water,Non_Wetland,Forest
56,NULL,Wetland,NULL,Wetland,NULL
57,NULL,Wetland,NULL,Wetland,Grassland
58,NULL,Wetland,NULL,Wetland,Wetland
59,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
60,NULL,Wetland,NULL,Wetland,Bareland
61,NULL,Wetland,NULL,Wetland,Water
62,NULL,Wetland,NULL,Wetland,Forest
63,NULL,Wetland,Non_Water,Wetland,Grassland
64,NULL,Wetland,Non_Water,Wetland,Wetland
65,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Non_Water,Wetland,Bareland
67,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,Wetland,Non_Water,Wetland,Forest
69,NULL,Wetland,Water,Wetland,Grassland
70,NULL,Wetland,Water,Wetland,Wetland
71,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
72,NULL,Wetland,Water,Wetland,Bareland
73,NULL,Wetland,Water,Wetland,Water
74,NULL,Wetland,Water,Wetland,Forest
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
82,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Bareland,NULL,Non_Wetland,Wetland
85,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,Bareland,NULL,Non_Wetland,Built-up
88,NULL,Bareland,NULL,Non_Wetland,Water
89,NULL,Bareland,NULL,Non_Wetland,Forest
90,NULL,Bareland,Non_Water,Non_Wetland,Grassland
91,NULL,Bareland,Non_Water,Non_Wetland,Wetland
92,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,Non_Water,Non_Wetland,Bareland
94,NULL,Bareland,Non_Water,Non_Wetland,Water
95,NULL,Bareland,Non_Water,Non_Wetland,Forest
96,NULL,Bareland,Water,Non_Wetland,Grassland
97,NULL,Bareland,Water,Non_Wetland,Wetland
98,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Bareland,Water,Non_Wetland,Bareland
100,NULL,Bareland,Water,Non_Wetland,Water
101,NULL,Bareland,Water,Non_Wetland,Forest
102,NULL,Built-up,NULL,Non_Wetland,NULL
103,NULL,Built-up,NULL,Non_Wetland,Grassland
104,NULL,Built-up,NULL,Non_Wetland,Wetland
105,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
106,NULL,Built-up,NULL,Non_Wetland,Bareland
107,NULL,Built-up,NULL,Non_Wetland,Built-up
108,NULL,Built-up,NULL,Non_Wetland,Water
109,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,Built-up,Non_Water,Non_Wetland,Grassland
111,NULL,Built-up,Non_Water,Non_Wetland,Wetland
112,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,Built-up,Non_Water,Non_Wetland,Water
115,NULL,Built-up,Non_Water,Non_Wetland,Forest
116,NULL,Built-up,Water,Non_Wetland,Grassland
117,NULL,Built-up,Water,Non_Wetland,Wetland
118,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
119,NULL,Built-up,Water,Non_Wetland,Bareland
120,NULL,Built-up,Water,Non_Wetland,Water
121,NULL,Built-up,Water,Non_Wetland,Forest
122,NULL,Water,NULL,Water,Grassland
123,NULL,Water,NULL,Water,Wetland
124,NULL,Water,NULL,Water,Lichens_and_Mosses
125,NULL,Water,NULL,Water,Bareland
126,NULL,Water,NULL,Water,Water
127,NULL,Water,NULL,Water,Forest
128,NULL,Water,Non_Water,Water,Grassland
129,NULL,Water,Non_Water,Water,Wetland
130,NULL,Water,Non_Water,Water,Lichens_and_Mosses
131,NULL,Water,Non_Water,Water,Bareland
132,NULL,Water,Non_Water,Water,Water
133,NULL,Water,Non_Water,Water,Forest
134,NULL,Water,Water,Water,Grassland
135,NULL,Water,Water,Water,Wetland
136,NULL,Water,Water,Water,Lichens_and_Mosses
137,NULL,Water,Water,Water,Bareland
138,NULL,Water,Water,Water,Water
139,NULL,Water,Water,Water,Forest
140,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
141,NULL,Forest,NULL,Non_Wetland,NULL
142,NULL,Forest,NULL,Non_Wetland,Grassland
143,NULL,Forest,NULL,Non_Wetland,Wetland
144,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
145,NULL,Forest,NULL,Non_Wetland,Bareland
146,NULL,Forest,NULL,Non_Wetland,Water
147,NULL,Forest,NULL,Non_Wetland,Forest
148,NULL,Forest,Non_Water,Non_Wetland,Grassland
149,NULL,Forest,Non_Water,Non_Wetland,Wetland
150,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
151,NULL,Forest,Non_Water,Non_Wetland,Bareland
152,NULL,Forest,Non_Water,Non_Wetland,Water
153,NULL,Forest,Non_Water,Non_Wetland,Forest
154,NULL,Forest,Water,Non_Wetland,Grassland
155,NULL,Forest,Water,Non_Wetland,Wetland
156,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
157,NULL,Forest,Water,Non_Wetland,Bareland
158,NULL,Forest,Water,Non_Wetland,Water
159,NULL,Forest,Water,Non_Wetland,Forest
160,Cropland,NULL,NULL,Non_Wetland,Grassland
161,Cropland,NULL,NULL,Non_Wetland,Wetland
162,Cropland,NULL,NULL,Non_Wetland,Forest
163,Cropland,NULL,Water,Non_Wetland,Grassland
164,Cropland,Shrubland,NULL,Non_Wetland,Grassland
165,Cropland,Shrubland,NULL,Non_Wetland,Wetland
166,Cropland,Shrubland,NULL,Non_Wetland,Bareland
167,Cropland,Shrubland,NULL,Non_Wetland,Built-up
168,Cropland,Shrubland,NULL,Non_Wetland,Forest
169,Cropland,Grassland,NULL,Non_Wetland,Grassland
170,Cropland,Grassland,NULL,Non_Wetland,Wetland
171,Cropland,Grassland,NULL,Non_Wetland,Bareland
172,Cropland,Grassland,NULL,Non_Wetland,Built-up
