Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWU_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWU_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWU_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWU_M_R,SIBERIA_2024_WorldCover_2021_45WWU_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
25,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
26,NULL,Shrubland,Non_Water,Non_Wetland,Water
27,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
31,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,Grassland,NULL,Non_Wetland,Grassland
35,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
37,NULL,Grassland,NULL,Non_Wetland,Bareland
38,NULL,Grassland,NULL,Non_Wetland,Water
39,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
43,NULL,Grassland,Non_Water,Non_Wetland,Water
44,NULL,Grassland,Non_Water,Non_Wetland,Forest
45,NULL,Grassland,Water,Non_Wetland,Grassland
46,NULL,Grassland,Water,Non_Wetland,Wetland
47,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
48,NULL,Grassland,Water,Non_Wetland,Water
49,NULL,Grassland,Water,Non_Wetland,Forest
50,NULL,Wetland,NULL,Wetland,NULL
51,NULL,Wetland,NULL,Wetland,Grassland
52,NULL,Wetland,NULL,Wetland,Wetland
53,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
54,NULL,Wetland,NULL,Wetland,Bareland
55,NULL,Wetland,NULL,Wetland,Water
56,NULL,Wetland,NULL,Wetland,Forest
57,NULL,Wetland,Non_Water,Wetland,Grassland
58,NULL,Wetland,Non_Water,Wetland,Wetland
59,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
60,NULL,Wetland,Non_Water,Wetland,Bareland
61,NULL,Wetland,Non_Water,Wetland,Water
62,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,Wetland,Water,Wetland,Grassland
64,NULL,Wetland,Water,Wetland,Wetland
65,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Water,Wetland,Bareland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
86,NULL,Bareland,NULL,Non_Wetland,NULL
87,NULL,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,NULL,Non_Wetland,Wetland
89,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,NULL,Non_Wetland,Bareland
91,NULL,Bareland,NULL,Non_Wetland,Water
92,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
93,NULL,Bareland,NULL,Non_Wetland,Forest
94,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,Bareland,Non_Water,Non_Wetland,Wetland
96,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,Non_Water,Non_Wetland,Bareland
98,NULL,Bareland,Non_Water,Non_Wetland,Water
99,NULL,Bareland,Non_Water,Non_Wetland,Forest
100,NULL,Bareland,Water,Non_Wetland,Grassland
101,NULL,Bareland,Water,Non_Wetland,Wetland
102,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,Water,Non_Wetland,Bareland
104,NULL,Bareland,Water,Non_Wetland,Water
105,NULL,Bareland,Water,Non_Wetland,Forest
106,NULL,Built-up,NULL,Non_Wetland,Grassland
107,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
108,NULL,Built-up,NULL,Non_Wetland,Bareland
109,NULL,Built-up,NULL,Non_Wetland,Water
110,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,Built-up,Non_Water,Non_Wetland,Water
112,NULL,Built-up,Water,Non_Wetland,Grassland
113,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
114,NULL,Built-up,Water,Non_Wetland,Bareland
115,NULL,Built-up,Water,Non_Wetland,Water
116,NULL,Water,NULL,Water,Grassland
117,NULL,Water,NULL,Water,Wetland
118,NULL,Water,NULL,Water,Lichens_and_Mosses
119,NULL,Water,NULL,Water,Bareland
120,NULL,Water,NULL,Water,Water
121,NULL,Water,NULL,Water,Forest
122,NULL,Water,Non_Water,Water,Grassland
123,NULL,Water,Non_Water,Water,Wetland
124,NULL,Water,Non_Water,Water,Lichens_and_Mosses
125,NULL,Water,Non_Water,Water,Bareland
126,NULL,Water,Non_Water,Water,Water
127,NULL,Water,Non_Water,Water,Forest
128,NULL,Water,Water,Water,Grassland
129,NULL,Water,Water,Water,Wetland
130,NULL,Water,Water,Water,Lichens_and_Mosses
131,NULL,Water,Water,Water,Bareland
132,NULL,Water,Water,Water,Water
133,NULL,Water,Water,Water,Forest
134,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
135,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
136,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
137,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
138,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
139,NULL,Forest,NULL,Non_Wetland,Grassland
140,NULL,Forest,NULL,Non_Wetland,Wetland
141,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
142,NULL,Forest,NULL,Non_Wetland,Water
143,NULL,Forest,NULL,Non_Wetland,Forest
144,NULL,Forest,Non_Water,Non_Wetland,Grassland
145,NULL,Forest,Non_Water,Non_Wetland,Wetland
146,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
147,NULL,Forest,Non_Water,Non_Wetland,Water
148,NULL,Forest,Non_Water,Non_Wetland,Forest
149,NULL,Forest,Water,Non_Wetland,Grassland
150,NULL,Forest,Water,Non_Wetland,Wetland
151,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Forest,Water,Non_Wetland,Water
153,NULL,Forest,Water,Non_Wetland,Forest
154,Wetland,NULL,NULL,Non_Wetland,NULL
155,Wetland,NULL,NULL,Non_Wetland,Grassland
156,Wetland,NULL,NULL,Non_Wetland,Wetland
157,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
158,Wetland,NULL,NULL,Non_Wetland,Water
159,Wetland,NULL,NULL,Non_Wetland,Forest
160,Wetland,NULL,Non_Water,Non_Wetland,Grassland
161,Wetland,NULL,Non_Water,Non_Wetland,Wetland
162,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
163,Wetland,NULL,Non_Water,Non_Wetland,Water
164,Wetland,NULL,Non_Water,Non_Wetland,Forest
165,Wetland,NULL,Water,Non_Wetland,Grassland
166,Wetland,NULL,Water,Non_Wetland,Wetland
167,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
168,Wetland,NULL,Water,Non_Wetland,Water
169,Wetland,NULL,Water,Non_Wetland,Forest
170,Wetland,Shrubland,NULL,Non_Wetland,NULL
171,Wetland,Shrubland,NULL,Non_Wetland,Grassland
172,Wetland,Shrubland,NULL,Non_Wetland,Wetland
173,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
174,Wetland,Shrubland,NULL,Non_Wetland,Bareland
175,Wetland,Shrubland,NULL,Non_Wetland,Water
176,Wetland,Shrubland,NULL,Non_Wetland,Forest
177,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
178,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
179,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
180,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
181,Wetland,Shrubland,Non_Water,Non_Wetland,Water
182,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
183,Wetland,Shrubland,Water,Non_Wetland,Grassland
184,Wetland,Shrubland,Water,Non_Wetland,Wetland
185,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
186,Wetland,Shrubland,Water,Non_Wetland,Bareland
187,Wetland,Shrubland,Water,Non_Wetland,Water
188,Wetland,Shrubland,Water,Non_Wetland,Forest
189,Wetland,Grassland,NULL,Non_Wetland,Grassland
190,Wetland,Grassland,NULL,Non_Wetland,Wetland
191,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
192,Wetland,Grassland,NULL,Non_Wetland,Bareland
193,Wetland,Grassland,NULL,Non_Wetland,Water
194,Wetland,Grassland,NULL,Non_Wetland,Forest
195,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
196,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
197,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
198,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
199,Wetland,Grassland,Non_Water,Non_Wetland,Water
200,Wetland,Grassland,Non_Water,Non_Wetland,Forest
201,Wetland,Grassland,Water,Non_Wetland,Grassland
202,Wetland,Grassland,Water,Non_Wetland,Wetland
203,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
204,Wetland,Grassland,Water,Non_Wetland,Water
205,Wetland,Grassland,Water,Non_Wetland,Forest
206,Wetland,Wetland,NULL,Wetland,NULL
207,Wetland,Wetland,NULL,Wetland,Grassland
208,Wetland,Wetland,NULL,Wetland,Wetland
209,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
210,Wetland,Wetland,NULL,Wetland,Bareland
211,Wetland,Wetland,NULL,Wetland,Water
212,Wetland,Wetland,NULL,Wetland,Forest
213,Wetland,Wetland,Non_Water,Wetland,Grassland
214,Wetland,Wetland,Non_Water,Wetland,Wetland
215,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
216,Wetland,Wetland,Non_Water,Wetland,Bareland
217,Wetland,Wetland,Non_Water,Wetland,Water
218,Wetland,Wetland,Non_Water,Wetland,Forest
219,Wetland,Wetland,Water,Wetland,Grassland
220,Wetland,Wetland,Water,Wetland,Wetland
221,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
222,Wetland,Wetland,Water,Wetland,Bareland
223,Wetland,Wetland,Water,Wetland,Water
224,Wetland,Wetland,Water,Wetland,Forest
225,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
226,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
227,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
228,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
229,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
230,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
231,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
232,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
233,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
234,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
235,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
236,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
237,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
238,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
239,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
240,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
241,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
242,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
243,Wetland,Bareland,NULL,Non_Wetland,Grassland
244,Wetland,Bareland,NULL,Non_Wetland,Wetland
245,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
246,Wetland,Bareland,NULL,Non_Wetland,Bareland
247,Wetland,Bareland,NULL,Non_Wetland,Water
248,Wetland,Bareland,NULL,Non_Wetland,Forest
249,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
